REF_DATE,GEO,North American Industry Classification System,Statistics,Data type,VALUE
2015-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17813.1
2015-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17827.2
2015-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17854.1
2015-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17819.4
2015-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17843.7
2015-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17836.7
2015-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17863.3
2015-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17889
2015-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17890.2
2015-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17899.1
2015-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17872.6
2015-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17867.4
2016-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17871.6
2016-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17889
2016-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17892.8
2016-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17919.7
2016-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17947.4
2016-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17954.5
2016-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17943.2
2016-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17994.2
2016-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18032.5
2016-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18051.2
2016-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18076
2016-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18104
2017-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18172.5
2017-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18216.6
2017-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18241.5
2017-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18271.6
2017-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18312.9
2017-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18371.4
2017-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18416.9
2017-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18436.4
2017-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18442.5
2017-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18475.1
2017-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18550.5
2017-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18619.7
2018-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18576.8
2018-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18570.3
2018-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18630.1
2018-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18613
2018-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18621.7
2018-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18677.6
2018-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18763.9
2018-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18704.7
2018-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18797.5
2018-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18814.9
2018-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18869.4
2018-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18892.8
2019-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18920.5
2019-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18965.7
2019-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18932.9
2019-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19053.7
2019-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19067.3
2019-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19078.6
2019-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19072.4
2019-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19133.9
2019-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19142.8
2019-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19130.9
2019-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19096.8
2019-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19186.5
2020-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19204.7
2020-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19202.9
2020-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18058.2
2020-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,16085.8
2020-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,16410.7
2020-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17469.3
2020-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,17895.5
2020-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18129.3
2020-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18555.9
2020-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18616.4
2020-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18650
2020-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18591.7
2021-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18392.1
2021-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18632
2021-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18873
2021-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18673.8
2021-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18623.6
2021-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,18894.4
2021-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19016.5
2021-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19081.7
2021-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19251.1
2021-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19288.1
2021-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19437.3
2021-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19508.8
2022-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19305.4
2022-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19629
2022-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19647.8
2022-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19709.7
2022-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19763.4
2022-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19750.8
2022-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19787.5
2022-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19781.2
2022-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19796.1
2022-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19882.8
2022-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19923.8
2022-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,19998.5
2023-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20097.5
2023-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20143.3
2023-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20214.7
2023-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20242.1
2023-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20253.9
2023-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20325.1
2023-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20356.9
2023-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20423.7
2023-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20473.1
2023-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20501.8
2023-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20522.2
2023-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20530.6
2024-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20552.1
2024-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20593.8
2024-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20620.8
2024-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20674.9
2024-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20707.2
2024-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20708.1
2024-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20725.1
2024-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20760.4
2024-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20796
2024-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20804.9
2024-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20842
2024-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20934.7
2025-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20986.9
2025-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20985.5
2025-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20964.3
2025-04-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20966.7
2025-05-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20974.4
2025-06-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21040.7
2025-07-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21018.3
2025-08-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,20956.6
2025-09-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21009.9
2025-10-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21083.6
2025-11-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21135.9
2025-12-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21146
2026-01-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21121.2
2026-02-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21037.3
2026-03-01,Canada,"Total employed, all industries",Estimate,Seasonally adjusted,21051.4
2015-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3900
2015-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3881.4
2015-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3877.4
2015-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3870.2
2015-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3875.1
2015-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3871.1
2015-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3880.2
2015-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3878.9
2015-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3881.5
2015-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3844.7
2015-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3880.8
2015-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3873.5
2016-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3868.1
2016-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3887.3
2016-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3854.5
2016-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3834.5
2016-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3844.5
2016-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3809.7
2016-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3824.2
2016-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3855.7
2016-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3860.2
2016-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3860.7
2016-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3832.9
2016-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3831.8
2017-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3859.7
2017-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3870.2
2017-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3867.6
2017-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3888.4
2017-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3888.1
2017-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3908.4
2017-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3927
2017-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3926.1
2017-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3916.5
2017-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3959
2017-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3967.2
2017-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3991.3
2018-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3972.3
2018-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3964
2018-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4000.2
2018-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3968.1
2018-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3961.3
2018-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3993.5
2018-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3963.5
2018-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3952.3
2018-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3992.6
2018-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3997.7
2018-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4003.3
2018-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4002.7
2019-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3969
2019-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3960.1
2019-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3948.1
2019-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3986.9
2019-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3994.7
2019-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3990.9
2019-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3999.3
2019-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4016.1
2019-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4024
2019-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3997
2019-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3979.7
2019-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3990.5
2020-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4007.9
2020-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4011.1
2020-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3935.2
2020-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3343.2
2020-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3527.8
2020-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3710.7
2020-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3760.8
2020-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3813.5
2020-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3896.3
2020-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3915.1
2020-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3930.6
2020-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3953.2
2021-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3958.9
2021-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3957.4
2021-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3977.2
2021-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3973.7
2021-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3934.3
2021-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3912.1
2021-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3917.4
2021-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3917.9
2021-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3954.2
2021-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3951.1
2021-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3967.3
2021-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,3987.1
2022-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4017.7
2022-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4059.9
2022-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4072
2022-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4083.2
2022-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4072.9
2022-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4087.3
2022-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4102.5
2022-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4111.8
2022-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4100.3
2022-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4137.8
2022-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4123.1
2022-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4155.3
2023-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4168
2023-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4187.2
2023-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4166.6
2023-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4175.7
2023-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4219.3
2023-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4215.5
2023-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4186.2
2023-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4195.2
2023-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4188.7
2023-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4193.9
2023-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4225.2
2023-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4200.2
2024-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4162.6
2024-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4166.1
2024-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4202
2024-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4196.7
2024-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4179.2
2024-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4190.9
2024-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4205.7
2024-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4214.3
2024-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4201.3
2024-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4211.2
2024-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4188.5
2024-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4215.3
2025-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4252.9
2025-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4230.7
2025-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4225.1
2025-04-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4195.6
2025-05-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4184.6
2025-06-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4189.8
2025-07-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4169.2
2025-08-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4175.1
2025-09-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4208.7
2025-10-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4210.6
2025-11-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4222.2
2025-12-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4228.2
2026-01-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4224.4
2026-02-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4196.5
2026-03-01,Canada,Goods-producing sector,Estimate,Seasonally adjusted,4209
2015-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,302
2015-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,296
2015-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,292.6
2015-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,295.1
2015-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,289.8
2015-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,284.2
2015-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,294.5
2015-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,291.1
2015-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,294.8
2015-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,292
2015-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,297.3
2015-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,289.1
2016-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,285.3
2016-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,287.9
2016-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,284.2
2016-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,282.8
2016-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,287.7
2016-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,284.9
2016-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,288.8
2016-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,289
2016-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,286.3
2016-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,279.1
2016-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,282
2016-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,278.1
2017-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,284.9
2017-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,284.3
2017-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,282.6
2017-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,283.4
2017-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,275.4
2017-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,281.4
2017-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,278.1
2017-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,280.5
2017-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,272.6
2017-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,275.1
2017-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,270.9
2017-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,275.5
2018-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,275.5
2018-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,275.5
2018-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,282.5
2018-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,282.3
2018-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,286.8
2018-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,284.4
2018-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,282.9
2018-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,280.3
2018-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,288.8
2018-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,291.1
2018-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,292.3
2018-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,299.5
2019-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,292.1
2019-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,293.2
2019-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,287.6
2019-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,290.7
2019-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,293
2019-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,294.6
2019-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,295
2019-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,295.2
2019-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,296.8
2019-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,293.8
2019-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,295.2
2019-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,290.5
2020-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,302.9
2020-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,302.9
2020-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,281.8
2020-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,277.8
2020-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,274.5
2020-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,277.2
2020-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,271
2020-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,272.8
2020-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,275.8
2020-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,279.3
2020-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,283.7
2020-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,277.9
2021-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,274.5
2021-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,273.8
2021-03-01,Canada,Agriculture,Estimate,Seasonally adjusted,279.5
2021-04-01,Canada,Agriculture,Estimate,Seasonally adjusted,280.2
2021-05-01,Canada,Agriculture,Estimate,Seasonally adjusted,270.8
2021-06-01,Canada,Agriculture,Estimate,Seasonally adjusted,264
2021-07-01,Canada,Agriculture,Estimate,Seasonally adjusted,261.5
2021-08-01,Canada,Agriculture,Estimate,Seasonally adjusted,252.7
2021-09-01,Canada,Agriculture,Estimate,Seasonally adjusted,249.8
2021-10-01,Canada,Agriculture,Estimate,Seasonally adjusted,246.6
2021-11-01,Canada,Agriculture,Estimate,Seasonally adjusted,249
2021-12-01,Canada,Agriculture,Estimate,Seasonally adjusted,242.1
2022-01-01,Canada,Agriculture,Estimate,Seasonally adjusted,256.9
2022-02-01,Canada,Agriculture,Estimate,Seasonally adjusted,259.1
