,State,Date,value
138,Oklahoma,2015-03-01,1823690.0
139,Oregon,2015-03-01,1961126.0
140,Pennsylvania,2015-03-01,6454403.0
141,Rhode Island,2015-03-01,567037.0
142,South Carolina,2015-03-01,2238395.0
143,South Dakota,2015-03-01,449521.0
144,Tennessee,2015-03-01,3070631.0
145,Texas,2015-03-01,12994457.0
146,Utah,2015-03-01,1449776.0
147,Virginia,2015-03-01,4232923.0
148,Vermont,2015-03-01,353266.0
149,Washington,2015-03-01,3528031.0
150,Wisconsin,2015-03-01,3091803.0
151,West Virginia,2015-03-01,794694.0
152,Wyoming,2015-03-01,301424.0
153,Alaska,2015-04-01,362180.0
154,Alabama,2015-04-01,2173967.0
155,Arkansas,2015-04-01,1334305.0
156,Arizona,2015-04-01,3101717.0
157,California,2015-04-01,18848322.0
158,Colorado,2015-04-01,2811615.0
159,Connecticut,2015-04-01,1910119.0
160,District of Columbia,2015-04-01,380227.0
161,Delaware,2015-04-01,460259.0
162,Florida,2015-04-01,9569380.0
163,Georgia,2015-04-01,4735953.0
164,Hawaii,2015-04-01,681613.0
165,Iowa,2015-04-01,1706203.0
166,Idaho,2015-04-01,795780.0
167,Illinois,2015-04-01,6544294.0
168,Indiana,2015-04-01,3252300.0
169,Kansas,2015-04-01,1497182.0
170,Kentucky,2015-04-01,1982464.0
171,Louisiana,2015-04-01,2160724.0
172,Massachusetts,2015-04-01,3626445.0
173,Maryland,2015-04-01,3167278.0
174,Maine,2015-04-01,692064.0
175,Michigan,2015-04-01,4766275.0
176,Minnesota,2015-04-01,3014026.0
177,Missouri,2015-04-01,3051973.0
178,Mississippi,2015-04-01,1257989.0
179,Montana,2015-04-01,519870.0
180,North Carolina,2015-04-01,4700619.0
181,North Dakota,2015-04-01,413654.0
182,Nebraska,2015-04-01,1012259.0
183,New Hampshire,2015-04-01,749781.0
184,New Jersey,2015-04-01,4601645.0
185,New Mexico,2015-04-01,942216.0
186,Nevada,2015-04-01,1393710.0
187,New York,2015-04-01,9740242.0
188,Ohio,2015-04-01,5727608.0
189,Oklahoma,2015-04-01,1827272.0
190,Oregon,2015-04-01,1964359.0
191,Pennsylvania,2015-04-01,6461555.0
192,Rhode Island,2015-04-01,566925.0
193,South Carolina,2015-04-01,2240573.0
194,South Dakota,2015-04-01,449658.0
195,Tennessee,2015-04-01,3074122.0
196,Texas,2015-04-01,12997813.0
197,Utah,2015-04-01,1453518.0
198,Virginia,2015-04-01,4232210.0
199,Vermont,2015-04-01,352923.0
200,Washington,2015-04-01,3533695.0
201,Wisconsin,2015-04-01,3091466.0
202,West Virginia,2015-04-01,794714.0
203,Wyoming,2015-04-01,301225.0
204,Alaska,2015-05-01,361928.0
205,Alabama,2015-05-01,2174501.0
206,Arkansas,2015-05-01,1334929.0
207,Arizona,2015-05-01,3106411.0
208,California,2015-05-01,18852828.0
209,Colorado,2015-05-01,2813611.0
210,Connecticut,2015-05-01,1907097.0
211,District of Columbia,2015-05-01,380770.0
212,Delaware,2015-05-01,461075.0
213,Florida,2015-05-01,9578842.0
214,Georgia,2015-05-01,4735356.0
215,Hawaii,2015-05-01,682114.0
216,Iowa,2015-05-01,1704780.0
217,Idaho,2015-05-01,797796.0
218,Illinois,2015-05-01,6551834.0
219,Indiana,2015-05-01,3256839.0
220,Kansas,2015-05-01,1497110.0
221,Kentucky,2015-05-01,1980575.0
222,Louisiana,2015-05-01,2156254.0
223,Massachusetts,2015-05-01,3624724.0
224,Maryland,2015-05-01,3169758.0
