,State,Date,value
174,Pennsylvania,2015-04-01,232.3
175,Rhode Island,2015-04-01,16.7
176,South Carolina,2015-04-01,87.9
177,South Dakota,2015-04-01,22.4
178,Maryland,2015-04-01,152.1
179,Nebraska,2015-04-01,48.7
180,Texas,2015-04-01,672.4
181,Utah,2015-04-01,83.0
182,Virginia,2015-04-01,183.1
183,Vermont,2015-04-01,15.0
184,Washington,2015-04-01,172.0
185,Wisconsin,2015-04-01,108.6
186,West Virginia,2015-04-01,33.1
187,Wyoming,2015-04-01,23.8
188,Alaska,2015-05-01,17.9
189,Alabama,2015-05-01,80.8
190,Arkansas,2015-05-01,48.2
191,Arizona,2015-05-01,125.9
192,California,2015-05-01,723.7
193,Colorado,2015-05-01,148.1
194,Connecticut,2015-05-01,58.1
195,Florida,2015-05-01,426.4
196,Georgia,2015-05-01,168.9
197,Iowa,2015-05-01,77.6
198,Idaho,2015-05-01,38.0
199,Illinois,2015-05-01,214.3
200,Indiana,2015-05-01,127.0
201,Kansas,2015-05-01,61.0
202,Kentucky,2015-05-01,75.1
203,Louisiana,2015-05-01,138.2
204,Massachusetts,2015-05-01,139.1
205,Maine,2015-05-01,26.6
206,Michigan,2015-05-01,148.2
207,Minnesota,2015-05-01,115.4
208,Missouri,2015-05-01,113.7
209,Mississippi,2015-05-01,46.1
210,Montana,2015-05-01,26.2
211,North Carolina,2015-05-01,188.7
212,North Dakota,2015-05-01,35.2
213,New Hampshire,2015-05-01,24.2
214,New Jersey,2015-05-01,148.5
215,New Mexico,2015-05-01,43.5
216,Nevada,2015-05-01,68.7
217,New York,2015-05-01,360.8
218,Ohio,2015-05-01,199.9
219,Oklahoma,2015-05-01,76.6
220,Oregon,2015-05-01,81.8
221,Pennsylvania,2015-05-01,234.9
222,Rhode Island,2015-05-01,16.9
223,South Carolina,2015-05-01,88.6
224,South Dakota,2015-05-01,22.3
225,Maryland,2015-05-01,153.3
226,Nebraska,2015-05-01,48.9
227,Texas,2015-05-01,678.4
228,Utah,2015-05-01,83.5
229,Virginia,2015-05-01,185.3
230,Vermont,2015-05-01,15.3
231,Washington,2015-05-01,173.0
232,Wisconsin,2015-05-01,109.9
233,West Virginia,2015-05-01,34.0
234,Wyoming,2015-05-01,23.3
235,Alaska,2015-06-01,17.7
236,Alabama,2015-06-01,81.7
237,Arkansas,2015-06-01,48.6
238,Arizona,2015-06-01,125.8
239,California,2015-06-01,727.9
240,Colorado,2015-06-01,147.9
241,Connecticut,2015-06-01,58.4
242,Florida,2015-06-01,429.5
243,Georgia,2015-06-01,169.9
244,Iowa,2015-06-01,77.2
245,Idaho,2015-06-01,37.9
246,Illinois,2015-06-01,214.0
247,Indiana,2015-06-01,126.3
248,Kansas,2015-06-01,60.4
249,Kentucky,2015-06-01,75.5
250,Louisiana,2015-06-01,138.3
251,Massachusetts,2015-06-01,139.6
252,Maine,2015-06-01,26.7
253,Michigan,2015-06-01,149.0
254,Minnesota,2015-06-01,116.0
255,Missouri,2015-06-01,113.4
256,Mississippi,2015-06-01,45.5
257,Montana,2015-06-01,26.1
258,North Carolina,2015-06-01,189.0
259,North Dakota,2015-06-01,34.4
260,New Hampshire,2015-06-01,24.2
261,New Jersey,2015-06-01,149.2
262,New Mexico,2015-06-01,43.6
263,Nevada,2015-06-01,69.4
264,New York,2015-06-01,363.5
265,Ohio,2015-06-01,199.1
266,Oklahoma,2015-06-01,77.3
267,Oregon,2015-06-01,82.4
268,Pennsylvania,2015-06-01,236.2
269,Rhode Island,2015-06-01,16.9
270,South Carolina,2015-06-01,89.3
271,South Dakota,2015-06-01,22.2
272,Maryland,2015-06-01,153.5
273,Nebraska,2015-06-01,48.8
274,Texas,2015-06-01,682.5
275,Utah,2015-06-01,84.3
276,Virginia,2015-06-01,185.1
277,Vermont,2015-06-01,15.2
278,Washington,2015-06-01,173.5
279,Wisconsin,2015-06-01,109.5
280,West Virginia,2015-06-01,33.0
281,Wyoming,2015-06-01,23.0
282,Alaska,2015-07-01,17.5
283,Alabama,2015-07-01,81.2
284,Arkansas,2015-07-01,49.5
285,Arizona,2015-07-01,126.3
286,California,2015-07-01,734.7
287,Colorado,2015-07-01,148.3
288,Connecticut,2015-07-01,57.9
289,Florida,2015-07-01,432.9
290,Georgia,2015-07-01,170.1
291,Iowa,2015-07-01,77.4
292,Idaho,2015-07-01,38.0
293,Illinois,2015-07-01,213.6
294,Indiana,2015-07-01,126.7
295,Kansas,2015-07-01,60.6
296,Kentucky,2015-07-01,75.8
297,Louisiana,2015-07-01,140.0
298,Massachusetts,2015-07-01,140.0
299,Maine,2015-07-01,26.9
300,Michigan,2015-07-01,148.2
301,Minnesota,2015-07-01,116.6
302,Missouri,2015-07-01,114.0
303,Mississippi,2015-07-01,45.9
304,Montana,2015-07-01,26.5
305,North Carolina,2015-07-01,189.9
306,North Dakota,2015-07-01,33.8
307,New Hampshire,2015-07-01,24.4
