,State,Date,value
151,West Virginia,1990-03-01,82.5
152,Wyoming,1990-03-01,9.1
153,Alaska,1990-04-01,13.7
154,Arkansas,1990-04-01,219.0
155,Arizona,1990-04-01,176.5
156,California,1990-04-01,1983.1
157,Colorado,1990-04-01,171.1
158,Connecticut,1990-04-01,304.8
159,Delaware,1990-04-01,46.7
160,Florida,1990-04-01,513.4
161,Georgia,1990-04-01,529.4
162,Hawaii,1990-04-01,20.6
163,Iowa,1990-04-01,218.2
164,Idaho,1990-04-01,52.9
165,Illinois,1990-04-01,923.2
166,Indiana,1990-04-01,609.6
167,Kansas,1990-04-01,178.5
168,Kentucky,1990-04-01,273.4
169,Louisiana,1990-04-01,175.1
170,Massachusetts,1990-04-01,486.6
171,Maryland,1990-04-01,203.3
172,Maine,1990-04-01,94.5
173,Michigan,1990-04-01,843.3
174,Minnesota,1990-04-01,340.9
175,Missouri,1990-04-01,395.6
176,Mississippi,1990-04-01,229.0
177,Montana,1990-04-01,19.5
178,North Carolina,1990-04-01,837.8
179,North Dakota,1990-04-01,15.1
180,Nebraska,1990-04-01,96.8
181,New Hampshire,1990-04-01,100.5
182,New Jersey,1990-04-01,538.0
183,New Mexico,1990-04-01,38.0
184,Nevada,1990-04-01,24.2
185,New York,1990-04-01,995.8
186,Ohio,1990-04-01,1068.6
187,Oklahoma,1990-04-01,161.9
188,Oregon,1990-04-01,205.4
189,Pennsylvania,1990-04-01,958.4
190,Rhode Island,1990-04-01,95.7
191,South Carolina,1990-04-01,352.2
192,South Dakota,1990-04-01,32.8
193,District of Columbia,1990-04-01,7.4
194,Alabama,1990-04-01,366.6
195,Tennessee,1990-04-01,503.9
196,Texas,1990-04-01,942.2
197,Utah,1990-04-01,104.1
198,Virginia,1990-04-01,390.6
199,Vermont,1990-04-01,43.0
200,Washington,1990-04-01,337.2
201,Wisconsin,1990-04-01,525.1
202,West Virginia,1990-04-01,82.7
203,Wyoming,1990-04-01,9.0
204,Alaska,1990-05-01,14.5
205,Arkansas,1990-05-01,219.2
206,Arizona,1990-05-01,176.7
207,California,1990-05-01,1980.3
208,Colorado,1990-05-01,170.4
209,Connecticut,1990-05-01,302.9
210,Delaware,1990-05-01,46.7
211,Florida,1990-05-01,513.2
212,Georgia,1990-05-01,527.5
213,Hawaii,1990-05-01,20.4
214,Iowa,1990-05-01,218.8
215,Idaho,1990-05-01,52.9
216,Illinois,1990-05-01,924.1
217,Indiana,1990-05-01,609.7
218,Kansas,1990-05-01,178.7
219,Kentucky,1990-05-01,274.0
220,Louisiana,1990-05-01,175.3
221,Massachusetts,1990-05-01,484.1
222,Maryland,1990-05-01,203.3
223,Maine,1990-05-01,94.1
224,Michigan,1990-05-01,838.1
225,Minnesota,1990-05-01,341.0
226,Missouri,1990-05-01,395.2
227,Mississippi,1990-05-01,230.1
228,Montana,1990-05-01,19.5
229,North Carolina,1990-05-01,831.6
230,North Dakota,1990-05-01,15.5
231,Nebraska,1990-05-01,96.6
232,New Hampshire,1990-05-01,99.9
233,New Jersey,1990-05-01,533.6
234,New Mexico,1990-05-01,38.4
235,Nevada,1990-05-01,24.3
236,New York,1990-05-01,994.6
237,Ohio,1990-05-01,1068.6
238,Oklahoma,1990-05-01,162.4
239,Oregon,1990-05-01,205.5
240,Pennsylvania,1990-05-01,957.1
241,Rhode Island,1990-05-01,94.9
242,South Carolina,1990-05-01,351.4
243,South Dakota,1990-05-01,33.4
244,District of Columbia,1990-05-01,7.3
245,Alabama,1990-05-01,366.2
246,Tennessee,1990-05-01,504.7
247,Texas,1990-05-01,940.7
248,Utah,1990-05-01,104.1
249,Virginia,1990-05-01,389.1
250,Vermont,1990-05-01,43.2
251,Washington,1990-05-01,336.4
252,Wisconsin,1990-05-01,525.3
253,West Virginia,1990-05-01,82.7
254,Wyoming,1990-05-01,9.1
255,Alaska,1990-06-01,14.5
256,Arkansas,1990-06-01,219.9
257,Arizona,1990-06-01,176.8
258,California,1990-06-01,1974.6
259,Colorado,1990-06-01,170.3
260,Connecticut,1990-06-01,301.4
261,Delaware,1990-06-01,46.8
262,Florida,1990-06-01,511.9
263,Georgia,1990-06-01,527.5
264,Hawaii,1990-06-01,20.4
265,Iowa,1990-06-01,218.8
266,Idaho,1990-06-01,52.8
267,Illinois,1990-06-01,922.6
268,Indiana,1990-06-01,609.7
269,Kansas,1990-06-01,179.4
270,Kentucky,1990-06-01,274.1
271,Louisiana,1990-06-01,176.7
272,Massachusetts,1990-06-01,481.8
273,Maryland,1990-06-01,203.3
274,Maine,1990-06-01,94.1
275,Michigan,1990-06-01,841.8
276,Minnesota,1990-06-01,341.9
277,Missouri,1990-06-01,396.3
278,Mississippi,1990-06-01,231.3
279,Montana,1990-06-01,19.4
280,North Carolina,1990-06-01,828.2
281,North Dakota,1990-06-01,15.6
282,Nebraska,1990-06-01,97.6
283,New Hampshire,1990-06-01,99.4
284,New Jersey,1990-06-01,529.4
285,New Mexico,1990-06-01,38.4
286,Nevada,1990-06-01,24.1
287,New York,1990-06-01,989.3
288,Ohio,1990-06-01,1069.4
289,Oklahoma,1990-06-01,162.9
290,Oregon,1990-06-01,204.9
291,Pennsylvania,1990-06-01,954.5
292,Rhode Island,1990-06-01,95.2
293,South Carolina,1990-06-01,350.7
294,South Dakota,1990-06-01,33.6
295,District of Columbia,1990-06-01,7.2
296,Alabama,1990-06-01,367.5
297,Tennessee,1990-06-01,502.0
298,Texas,1990-06-01,941.8
299,Utah,1990-06-01,104.9
300,Virginia,1990-06-01,389.3
301,Vermont,1990-06-01,43.1
302,Washington,1990-06-01,336.7
303,Wisconsin,1990-06-01,525.5
304,West Virginia,1990-06-01,83.1
305,Wyoming,1990-06-01,9.1
306,Alaska,1990-07-01,14.3
307,Arkansas,1990-07-01,219.8
308,Arizona,1990-07-01,177.2
309,California,1990-07-01,1970.3
310,Colorado,1990-07-01,170.4
311,Connecticut,1990-07-01,301.5
312,Delaware,1990-07-01,44.0
313,Florida,1990-07-01,508.9
314,Georgia,1990-07-01,521.0
315,Hawaii,1990-07-01,20.4
316,Iowa,1990-07-01,219.1
317,Idaho,1990-07-01,52.0
318,Illinois,1990-07-01,918.1
319,Indiana,1990-07-01,612.3
320,Kansas,1990-07-01,178.5
321,Kentucky,1990-07-01,274.3
322,Louisiana,1990-07-01,177.1
323,Massachusetts,1990-07-01,481.1
324,Maryland,1990-07-01,202.4
325,Maine,1990-07-01,92.9
326,Michigan,1990-07-01,838.1
327,Minnesota,1990-07-01,341.7
328,Missouri,1990-07-01,392.8
329,Mississippi,1990-07-01,231.3
330,Montana,1990-07-01,19.7
331,North Carolina,1990-07-01,823.6
332,North Dakota,1990-07-01,15.5
333,Nebraska,1990-07-01,97.7
334,New Hampshire,1990-07-01,98.7
335,New Jersey,1990-07-01,526.7
336,New Mexico,1990-07-01,38.2
337,Nevada,1990-07-01,23.9
338,New York,1990-07-01,982.2
339,Ohio,1990-07-01,1068.2
340,Oklahoma,1990-07-01,162.9
341,Oregon,1990-07-01,204.7
342,Pennsylvania,1990-07-01,951.2
343,Rhode Island,1990-07-01,94.9
344,South Carolina,1990-07-01,348.5
345,South Dakota,1990-07-01,34.2
346,District of Columbia,1990-07-01,7.3
347,Alabama,1990-07-01,364.6
348,Tennessee,1990-07-01,498.5
349,Texas,1990-07-01,947.2
350,Utah,1990-07-01,104.6
351,Virginia,1990-07-01,388.9
352,Vermont,1990-07-01,42.7
353,Washington,1990-07-01,337.3
354,Wisconsin,1990-07-01,523.5
355,West Virginia,1990-07-01,82.6
356,Wyoming,1990-07-01,9.3
357,Alaska,1990-08-01,14.4
358,Arkansas,1990-08-01,220.2
359,Arizona,1990-08-01,176.8
360,California,1990-08-01,1964.0
361,Colorado,1990-08-01,169.9
362,Connecticut,1990-08-01,297.5
363,Delaware,1990-08-01,47.4
364,Florida,1990-08-01,506.7
365,Georgia,1990-08-01,519.7
366,Hawaii,1990-08-01,20.4
367,Iowa,1990-08-01,218.7
368,Idaho,1990-08-01,52.4
369,Illinois,1990-08-01,918.4
370,Indiana,1990-08-01,609.9
371,Kansas,1990-08-01,176.3
372,Kentucky,1990-08-01,273.8
373,Louisiana,1990-08-01,178.3
374,Massachusetts,1990-08-01,478.0
375,Maryland,1990-08-01,201.1
376,Maine,1990-08-01,92.9
377,Michigan,1990-08-01,832.2
378,Minnesota,1990-08-01,342.3
379,Missouri,1990-08-01,393.6
380,Mississippi,1990-08-01,231.4
381,Montana,1990-08-01,19.6
382,North Carolina,1990-08-01,820.1
383,North Dakota,1990-08-01,15.6
384,Nebraska,1990-08-01,98.2
385,New Hampshire,1990-08-01,97.9
386,New Jersey,1990-08-01,524.0
387,New Mexico,1990-08-01,38.1
388,Nevada,1990-08-01,24.1
389,New York,1990-08-01,972.6
390,Ohio,1990-08-01,1066.3
391,Oklahoma,1990-08-01,160.2
392,Oregon,1990-08-01,206.8
393,Pennsylvania,1990-08-01,948.9
394,Rhode Island,1990-08-01,94.8
395,South Carolina,1990-08-01,346.5
396,South Dakota,1990-08-01,34.0
397,District of Columbia,1990-08-01,7.2
398,Alabama,1990-08-01,364.7
399,Tennessee,1990-08-01,496.7
400,Texas,1990-08-01,950.2
401,Utah,1990-08-01,105.2
402,Virginia,1990-08-01,387.4
403,Vermont,1990-08-01,42.7
404,Washington,1990-08-01,336.1
405,Wisconsin,1990-08-01,524.4
406,West Virginia,1990-08-01,82.6
407,Wyoming,1990-08-01,9.1
408,Alaska,1990-09-01,14.0
409,Arkansas,1990-09-01,221.1
410,Arizona,1990-09-01,176.1
411,California,1990-09-01,1953.3
412,Colorado,1990-09-01,169.7
413,Connecticut,1990-09-01,295.4
414,Delaware,1990-09-01,47.3
415,Florida,1990-09-01,504.4
416,Georgia,1990-09-01,517.0
417,Hawaii,1990-09-01,20.5
418,Iowa,1990-09-01,220.3
419,Idaho,1990-09-01,53.9
420,Illinois,1990-09-01,912.8
421,Indiana,1990-09-01,608.0
422,Kansas,1990-09-01,178.3
423,Kentucky,1990-09-01,273.3
424,Louisiana,1990-09-01,179.2
425,Massachusetts,1990-09-01,474.7
426,Maryland,1990-09-01,200.2
427,Maine,1990-09-01,92.3
428,Michigan,1990-09-01,832.2
429,Minnesota,1990-09-01,341.7
430,Missouri,1990-09-01,391.7
431,Mississippi,1990-09-01,231.3
432,Montana,1990-09-01,19.3
433,North Carolina,1990-09-01,818.2
434,North Dakota,1990-09-01,15.6
435,Nebraska,1990-09-01,98.0
436,New Hampshire,1990-09-01,97.1
437,New Jersey,1990-09-01,519.8
438,New Mexico,1990-09-01,38.2
439,Nevada,1990-09-01,24.3
440,New York,1990-09-01,969.9
441,Ohio,1990-09-01,1064.8
442,Oklahoma,1990-09-01,162.9
443,Oregon,1990-09-01,203.4
444,Pennsylvania,1990-09-01,945.8
445,Rhode Island,1990-09-01,94.3
446,South Carolina,1990-09-01,345.0
447,South Dakota,1990-09-01,34.1
448,District of Columbia,1990-09-01,7.2
449,Alabama,1990-09-01,364.9
450,Tennessee,1990-09-01,497.0
451,Texas,1990-09-01,949.6
452,Utah,1990-09-01,105.1
453,Virginia,1990-09-01,386.1
454,Vermont,1990-09-01,42.2
455,Washington,1990-09-01,335.8
456,Wisconsin,1990-09-01,523.8
457,West Virginia,1990-09-01,82.1
458,Wyoming,1990-09-01,9.3
459,Alaska,1990-10-01,14.0
460,Arkansas,1990-10-01,220.0
461,Arizona,1990-10-01,175.8
462,California,1990-10-01,1951.5
463,Colorado,1990-10-01,170.0
464,Connecticut,1990-10-01,292.5
465,Delaware,1990-10-01,46.9
466,Florida,1990-10-01,500.0
467,Georgia,1990-10-01,513.9
468,Hawaii,1990-10-01,20.4
469,Iowa,1990-10-01,219.8
470,Idaho,1990-10-01,53.2
471,Illinois,1990-10-01,908.7
472,Indiana,1990-10-01,606.6
473,Kansas,1990-10-01,177.7
474,Kentucky,1990-10-01,272.5
475,Louisiana,1990-10-01,177.9
476,Massachusetts,1990-10-01,470.1
477,Maryland,1990-10-01,197.9
478,Maine,1990-10-01,91.1
479,Michigan,1990-10-01,830.7
480,Minnesota,1990-10-01,340.8
481,Missouri,1990-10-01,390.0
482,Mississippi,1990-10-01,231.6
483,Montana,1990-10-01,19.7
484,North Carolina,1990-10-01,809.9
485,North Dakota,1990-10-01,15.9
486,Nebraska,1990-10-01,98.1
487,New Hampshire,1990-10-01,96.0
488,New Jersey,1990-10-01,515.6
489,New Mexico,1990-10-01,38.2
490,Nevada,1990-10-01,24.8
491,New York,1990-10-01,962.7
492,Ohio,1990-10-01,1059.3
493,Oklahoma,1990-10-01,162.6
494,Oregon,1990-10-01,200.7
495,Pennsylvania,1990-10-01,941.0
496,Rhode Island,1990-10-01,94.1
497,South Carolina,1990-10-01,343.1
498,South Dakota,1990-10-01,33.8
499,District of Columbia,1990-10-01,7.1
