,State,Date,value
151,West Virginia,2015-03-01,73.9
152,Wyoming,2015-03-01,36.2
153,Alaska,2015-04-01,34.9
154,Alabama,2015-04-01,188.3
155,Arkansas,2015-04-01,109.8
156,Arizona,2015-04-01,297.3
157,California,2015-04-01,1809.3
158,Colorado,2015-04-01,310.4
159,Connecticut,2015-04-01,151.2
160,District of Columbia,2015-04-01,71.8
161,Delaware,2015-04-01,47.9
162,Florida,2015-04-01,1121.1
163,Georgia,2015-04-01,443.1
164,Hawaii,2015-04-01,117.3
165,Iowa,2015-04-01,139.4
166,Idaho,2015-04-01,67.0
167,Illinois,2015-04-01,572.8
168,Indiana,2015-04-01,298.8
169,Kansas,2015-04-01,124.9
170,Kentucky,2015-04-01,185.8
171,Louisiana,2015-04-01,226.4
172,Massachusetts,2015-04-01,346.2
173,Maryland,2015-04-01,265.1
174,Maine,2015-04-01,64.0
175,Michigan,2015-04-01,408.6
176,Minnesota,2015-04-01,257.5
177,Missouri,2015-04-01,289.8
178,Mississippi,2015-04-01,128.1
179,Montana,2015-04-01,62.0
180,North Carolina,2015-04-01,454.0
181,North Dakota,2015-04-01,40.9
182,Nebraska,2015-04-01,87.2
183,New Hampshire,2015-04-01,68.0
184,New Jersey,2015-04-01,355.5
185,New Mexico,2015-04-01,92.8
186,Nevada,2015-04-01,340.1
187,New York,2015-04-01,893.5
188,Ohio,2015-04-01,535.0
189,Oklahoma,2015-04-01,160.1
190,Oregon,2015-04-01,189.2
191,Pennsylvania,2015-04-01,541.5
192,Rhode Island,2015-04-01,55.8
193,South Carolina,2015-04-01,236.6
194,South Dakota,2015-04-01,45.7
195,Tennessee,2015-04-01,305.4
196,Texas,2015-04-01,1227.9
197,Utah,2015-04-01,131.7
198,Virginia,2015-04-01,382.3
199,Vermont,2015-04-01,36.3
200,Washington,2015-04-01,304.5
201,Wisconsin,2015-04-01,269.2
202,West Virginia,2015-04-01,74.4
203,Wyoming,2015-04-01,36.4
204,Alaska,2015-05-01,35.5
205,Alabama,2015-05-01,189.3
206,Arkansas,2015-05-01,111.3
207,Arizona,2015-05-01,297.7
208,California,2015-05-01,1818.4
209,Colorado,2015-05-01,312.3
210,Connecticut,2015-05-01,152.0
211,District of Columbia,2015-05-01,72.5
212,Delaware,2015-05-01,49.1
213,Florida,2015-05-01,1125.3
214,Georgia,2015-05-01,444.9
215,Hawaii,2015-05-01,117.9
216,Iowa,2015-05-01,140.6
217,Idaho,2015-05-01,67.9
218,Illinois,2015-05-01,577.8
219,Indiana,2015-05-01,300.1
220,Kansas,2015-05-01,124.8
221,Kentucky,2015-05-01,187.0
222,Louisiana,2015-05-01,227.0
223,Massachusetts,2015-05-01,353.9
224,Maryland,2015-05-01,268.6
225,Maine,2015-05-01,64.9
226,Michigan,2015-05-01,413.7
227,Minnesota,2015-05-01,259.5
228,Missouri,2015-05-01,292.6
229,Mississippi,2015-05-01,128.6
230,Montana,2015-05-01,62.5
231,North Carolina,2015-05-01,457.2
232,North Dakota,2015-05-01,41.1
233,Nebraska,2015-05-01,88.0
234,New Hampshire,2015-05-01,69.3
235,New Jersey,2015-05-01,359.8
236,New Mexico,2015-05-01,92.9
237,Nevada,2015-05-01,340.3
238,New York,2015-05-01,903.2
239,Ohio,2015-05-01,538.7
240,Oklahoma,2015-05-01,161.3
241,Oregon,2015-05-01,190.4
242,Pennsylvania,2015-05-01,545.1
243,Rhode Island,2015-05-01,57.0
244,South Carolina,2015-05-01,236.9
245,South Dakota,2015-05-01,46.1
246,Tennessee,2015-05-01,308.2
247,Texas,2015-05-01,1235.2
248,Utah,2015-05-01,132.6
249,Virginia,2015-05-01,384.8
250,Vermont,2015-05-01,36.3
251,Washington,2015-05-01,308.0
252,Wisconsin,2015-05-01,270.3
253,West Virginia,2015-05-01,74.5
254,Wyoming,2015-05-01,36.2
255,Alaska,2015-06-01,35.0
256,Alabama,2015-06-01,189.6
257,Arkansas,2015-06-01,111.4
258,Arizona,2015-06-01,298.5
259,California,2015-06-01,1822.6
260,Colorado,2015-06-01,312.6
261,Connecticut,2015-06-01,151.4
262,District of Columbia,2015-06-01,72.8
263,Delaware,2015-06-01,48.7
264,Florida,2015-06-01,1131.4
265,Georgia,2015-06-01,447.4
266,Hawaii,2015-06-01,117.8
267,Iowa,2015-06-01,140.8
268,Idaho,2015-06-01,68.0
269,Illinois,2015-06-01,579.0
270,Indiana,2015-06-01,301.0
271,Kansas,2015-06-01,125.7
272,Kentucky,2015-06-01,187.4
273,Louisiana,2015-06-01,227.4
274,Massachusetts,2015-06-01,349.4
275,Maryland,2015-06-01,267.2
276,Maine,2015-06-01,64.2
277,Michigan,2015-06-01,412.7
278,Minnesota,2015-06-01,259.9
279,Missouri,2015-06-01,292.2
280,Mississippi,2015-06-01,128.7
281,Montana,2015-06-01,62.2
282,North Carolina,2015-06-01,459.7
283,North Dakota,2015-06-01,40.9
284,Nebraska,2015-06-01,88.3
285,New Hampshire,2015-06-01,68.5
286,New Jersey,2015-06-01,356.6
287,New Mexico,2015-06-01,92.9
288,Nevada,2015-06-01,340.2
289,New York,2015-06-01,898.1
290,Ohio,2015-06-01,538.4
291,Oklahoma,2015-06-01,162.8
292,Oregon,2015-06-01,191.1
293,Pennsylvania,2015-06-01,545.0
294,Rhode Island,2015-06-01,55.9
295,South Carolina,2015-06-01,237.5
296,South Dakota,2015-06-01,46.0
297,Tennessee,2015-06-01,308.4
298,Texas,2015-06-01,1240.5
299,Utah,2015-06-01,133.4
300,Virginia,2015-06-01,386.5
301,Vermont,2015-06-01,36.0
302,Washington,2015-06-01,310.4
303,Wisconsin,2015-06-01,270.4
304,West Virginia,2015-06-01,74.4
305,Wyoming,2015-06-01,36.3
306,Alaska,2015-07-01,34.9
307,Alabama,2015-07-01,190.4
308,Arkansas,2015-07-01,111.9
309,Arizona,2015-07-01,299.1
310,California,2015-07-01,1831.8
311,Colorado,2015-07-01,313.4
312,Connecticut,2015-07-01,150.9
313,District of Columbia,2015-07-01,73.1
314,Delaware,2015-07-01,49.0
315,Florida,2015-07-01,1135.0
316,Georgia,2015-07-01,448.0
317,Hawaii,2015-07-01,118.4
318,Iowa,2015-07-01,141.0
319,Idaho,2015-07-01,68.6
320,Illinois,2015-07-01,579.8
321,Indiana,2015-07-01,300.9
322,Kansas,2015-07-01,126.0
323,Kentucky,2015-07-01,188.0
324,Louisiana,2015-07-01,228.5
325,Massachusetts,2015-07-01,350.7
326,Maryland,2015-07-01,268.5
327,Maine,2015-07-01,64.5
328,Michigan,2015-07-01,414.8
329,Minnesota,2015-07-01,259.7
330,Missouri,2015-07-01,293.2
331,Mississippi,2015-07-01,129.3
332,Montana,2015-07-01,62.5
333,North Carolina,2015-07-01,461.1
334,North Dakota,2015-07-01,40.6
335,Nebraska,2015-07-01,88.5
336,New Hampshire,2015-07-01,68.8
337,New Jersey,2015-07-01,360.0
338,New Mexico,2015-07-01,93.1
339,Nevada,2015-07-01,340.4
340,New York,2015-07-01,902.8
341,Ohio,2015-07-01,539.5
342,Oklahoma,2015-07-01,162.9
343,Oregon,2015-07-01,192.1
344,Pennsylvania,2015-07-01,545.6
345,Rhode Island,2015-07-01,56.3
346,South Carolina,2015-07-01,238.8
347,South Dakota,2015-07-01,46.2
348,Tennessee,2015-07-01,308.4
349,Texas,2015-07-01,1246.8
350,Utah,2015-07-01,133.9
351,Virginia,2015-07-01,390.0
352,Vermont,2015-07-01,35.7
353,Washington,2015-07-01,311.6
354,Wisconsin,2015-07-01,270.3
355,West Virginia,2015-07-01,74.6
356,Wyoming,2015-07-01,36.2
357,Alaska,2015-08-01,34.9
358,Alabama,2015-08-01,190.7
359,Arkansas,2015-08-01,112.3
360,Arizona,2015-08-01,300.2
361,California,2015-08-01,1839.1
362,Colorado,2015-08-01,314.4
363,Connecticut,2015-08-01,150.3
364,District of Columbia,2015-08-01,73.7
365,Delaware,2015-08-01,49.1
366,Florida,2015-08-01,1139.9
367,Georgia,2015-08-01,450.1
368,Hawaii,2015-08-01,118.9
369,Iowa,2015-08-01,141.2
370,Idaho,2015-08-01,68.8
371,Illinois,2015-08-01,581.1
372,Indiana,2015-08-01,301.4
373,Kansas,2015-08-01,126.2
374,Kentucky,2015-08-01,188.1
375,Louisiana,2015-08-01,228.6
376,Massachusetts,2015-08-01,351.7
377,Maryland,2015-08-01,268.8
378,Maine,2015-08-01,64.6
379,Michigan,2015-08-01,414.7
380,Minnesota,2015-08-01,259.8
381,Missouri,2015-08-01,293.4
382,Mississippi,2015-08-01,129.4
383,Montana,2015-08-01,62.8
384,North Carolina,2015-08-01,461.9
385,North Dakota,2015-08-01,40.6
386,Nebraska,2015-08-01,88.6
387,New Hampshire,2015-08-01,68.7
388,New Jersey,2015-08-01,360.5
389,New Mexico,2015-08-01,93.0
390,Nevada,2015-08-01,340.6
391,New York,2015-08-01,904.2
392,Ohio,2015-08-01,541.2
393,Oklahoma,2015-08-01,163.3
394,Oregon,2015-08-01,192.8
395,Pennsylvania,2015-08-01,546.5
396,Rhode Island,2015-08-01,56.3
397,South Carolina,2015-08-01,239.3
398,South Dakota,2015-08-01,46.2
399,Tennessee,2015-08-01,309.4
400,Texas,2015-08-01,1251.2
401,Utah,2015-08-01,134.4
402,Virginia,2015-08-01,391.9
403,Vermont,2015-08-01,36.0
404,Washington,2015-08-01,313.3
405,Wisconsin,2015-08-01,270.8
406,West Virginia,2015-08-01,74.5
407,Wyoming,2015-08-01,36.0
408,Alaska,2015-09-01,35.3
409,Alabama,2015-09-01,191.9
410,Arkansas,2015-09-01,113.3
411,Arizona,2015-09-01,300.2
412,California,2015-09-01,1846.4
413,Colorado,2015-09-01,316.5
414,Connecticut,2015-09-01,151.3
415,District of Columbia,2015-09-01,73.3
416,Delaware,2015-09-01,49.2
417,Florida,2015-09-01,1145.2
418,Georgia,2015-09-01,453.9
419,Hawaii,2015-09-01,119.0
420,Iowa,2015-09-01,141.5
421,Idaho,2015-09-01,69.5
422,Illinois,2015-09-01,584.0
423,Indiana,2015-09-01,302.3
424,Kansas,2015-09-01,126.4
425,Kentucky,2015-09-01,189.3
426,Louisiana,2015-09-01,229.4
427,Massachusetts,2015-09-01,351.8
428,Maryland,2015-09-01,268.9
429,Maine,2015-09-01,64.9
430,Michigan,2015-09-01,417.8
431,Minnesota,2015-09-01,261.1
432,Missouri,2015-09-01,295.3
433,Mississippi,2015-09-01,129.9
434,Montana,2015-09-01,63.2
435,North Carolina,2015-09-01,464.7
436,North Dakota,2015-09-01,40.7
437,Nebraska,2015-09-01,89.5
438,New Hampshire,2015-09-01,69.0
439,New Jersey,2015-09-01,363.1
440,New Mexico,2015-09-01,93.3
441,Nevada,2015-09-01,341.3
442,New York,2015-09-01,909.4
443,Ohio,2015-09-01,545.4
444,Oklahoma,2015-09-01,163.0
445,Oregon,2015-09-01,193.5
446,Pennsylvania,2015-09-01,550.1
447,Rhode Island,2015-09-01,56.8
448,South Carolina,2015-09-01,239.5
449,South Dakota,2015-09-01,46.4
450,Tennessee,2015-09-01,310.9
451,Texas,2015-09-01,1257.9
452,Utah,2015-09-01,134.7
453,Virginia,2015-09-01,394.6
454,Vermont,2015-09-01,36.3
455,Washington,2015-09-01,313.8
456,Wisconsin,2015-09-01,272.0
457,West Virginia,2015-09-01,74.9
458,Wyoming,2015-09-01,36.4
459,Alaska,2015-10-01,35.1
460,Alabama,2015-10-01,192.8
461,Arkansas,2015-10-01,113.6
462,Arizona,2015-10-01,301.9
463,California,2015-10-01,1854.2
464,Colorado,2015-10-01,316.5
465,Connecticut,2015-10-01,151.8
466,District of Columbia,2015-10-01,73.0
467,Delaware,2015-10-01,48.7
468,Florida,2015-10-01,1152.5
469,Georgia,2015-10-01,454.7
470,Hawaii,2015-10-01,119.4
471,Iowa,2015-10-01,141.7
472,Idaho,2015-10-01,69.6
473,Illinois,2015-10-01,586.6
474,Indiana,2015-10-01,302.6
475,Kansas,2015-10-01,126.8
476,Kentucky,2015-10-01,189.8
477,Louisiana,2015-10-01,230.5
478,Massachusetts,2015-10-01,352.7
479,Maryland,2015-10-01,268.9
480,Maine,2015-10-01,65.2
481,Michigan,2015-10-01,417.4
482,Minnesota,2015-10-01,262.3
483,Missouri,2015-10-01,295.3
484,Mississippi,2015-10-01,130.8
485,Montana,2015-10-01,63.5
486,North Carolina,2015-10-01,465.8
487,North Dakota,2015-10-01,40.5
488,Nebraska,2015-10-01,89.1
489,New Hampshire,2015-10-01,69.0
490,New Jersey,2015-10-01,363.1
491,New Mexico,2015-10-01,93.7
492,Nevada,2015-10-01,342.8
493,New York,2015-10-01,908.9
494,Ohio,2015-10-01,543.4
495,Oklahoma,2015-10-01,163.8
496,Oregon,2015-10-01,194.2
497,Pennsylvania,2015-10-01,549.8
498,Rhode Island,2015-10-01,56.7
499,South Carolina,2015-10-01,241.3
500,South Dakota,2015-10-01,46.3
501,Tennessee,2015-10-01,311.9
502,Texas,2015-10-01,1262.0
503,Utah,2015-10-01,135.2
504,Virginia,2015-10-01,394.6
505,Vermont,2015-10-01,36.3
506,Washington,2015-10-01,315.6
507,Wisconsin,2015-10-01,273.5
508,West Virginia,2015-10-01,74.7
509,Wyoming,2015-10-01,36.0
510,Alaska,2015-11-01,34.8
511,Alabama,2015-11-01,193.7
512,Arkansas,2015-11-01,114.0
513,Arizona,2015-11-01,302.4
514,California,2015-11-01,1857.0
515,Colorado,2015-11-01,318.0
516,Connecticut,2015-11-01,151.6
517,District of Columbia,2015-11-01,73.6
518,Delaware,2015-11-01,49.0
519,Florida,2015-11-01,1157.3
520,Georgia,2015-11-01,455.8
521,Hawaii,2015-11-01,119.9
522,Iowa,2015-11-01,141.9
523,Idaho,2015-11-01,69.7
524,Illinois,2015-11-01,589.4
525,Indiana,2015-11-01,303.1
526,Kansas,2015-11-01,126.9
527,Kentucky,2015-11-01,191.1
528,Louisiana,2015-11-01,231.1
529,Massachusetts,2015-11-01,354.3
530,Maryland,2015-11-01,269.1
531,Maine,2015-11-01,65.2
532,Michigan,2015-11-01,417.4
533,Minnesota,2015-11-01,262.5
534,Missouri,2015-11-01,296.8
535,Mississippi,2015-11-01,130.8
536,Montana,2015-11-01,63.7
537,North Carolina,2015-11-01,467.1
538,North Dakota,2015-11-01,40.7
539,Nebraska,2015-11-01,89.3
540,New Hampshire,2015-11-01,69.0
541,New Jersey,2015-11-01,365.2
542,New Mexico,2015-11-01,94.1
543,Nevada,2015-11-01,342.4
544,New York,2015-11-01,909.6
545,Ohio,2015-11-01,546.3
546,Oklahoma,2015-11-01,164.4
547,Oregon,2015-11-01,194.9
548,Pennsylvania,2015-11-01,550.9
549,Rhode Island,2015-11-01,56.9
550,South Carolina,2015-11-01,242.5
551,South Dakota,2015-11-01,46.5
552,Tennessee,2015-11-01,313.4
553,Texas,2015-11-01,1264.0
554,Utah,2015-11-01,135.6
555,Virginia,2015-11-01,396.2
556,Vermont,2015-11-01,36.4
557,Washington,2015-11-01,315.5
558,Wisconsin,2015-11-01,274.8
559,West Virginia,2015-11-01,74.8
560,Wyoming,2015-11-01,35.9
561,Alaska,2015-12-01,35.1
562,Alabama,2015-12-01,194.5
563,Arkansas,2015-12-01,114.8
564,Arizona,2015-12-01,303.7
565,California,2015-12-01,1866.5
566,Colorado,2015-12-01,318.3
567,Connecticut,2015-12-01,151.7
568,District of Columbia,2015-12-01,75.1
569,Delaware,2015-12-01,49.3
570,Florida,2015-12-01,1164.3
571,Georgia,2015-12-01,458.0
572,Hawaii,2015-12-01,120.4
573,Iowa,2015-12-01,142.3
574,Idaho,2015-12-01,70.5
575,Illinois,2015-12-01,594.2
576,Indiana,2015-12-01,303.9
577,Kansas,2015-12-01,127.1
578,Kentucky,2015-12-01,191.5
579,Louisiana,2015-12-01,232.5
580,Massachusetts,2015-12-01,355.9
581,Maryland,2015-12-01,271.3
582,Maine,2015-12-01,64.8
583,Michigan,2015-12-01,417.5
584,Minnesota,2015-12-01,263.2
585,Missouri,2015-12-01,297.6
586,Mississippi,2015-12-01,131.6
587,Montana,2015-12-01,63.8
588,North Carolina,2015-12-01,470.5
589,North Dakota,2015-12-01,40.4
590,Nebraska,2015-12-01,89.8
591,New Hampshire,2015-12-01,68.8
592,New Jersey,2015-12-01,369.1
593,New Mexico,2015-12-01,94.4
594,Nevada,2015-12-01,341.6
595,New York,2015-12-01,911.8
596,Ohio,2015-12-01,547.2
597,Oklahoma,2015-12-01,164.3
598,Oregon,2015-12-01,195.1
599,Pennsylvania,2015-12-01,550.3
600,Rhode Island,2015-12-01,57.1
601,South Carolina,2015-12-01,243.8
602,South Dakota,2015-12-01,46.6
603,Tennessee,2015-12-01,314.5
604,Texas,2015-12-01,1267.6
605,Utah,2015-12-01,135.3
606,Virginia,2015-12-01,397.5
607,Vermont,2015-12-01,35.9
608,Washington,2015-12-01,316.1
609,Wisconsin,2015-12-01,274.9
610,West Virginia,2015-12-01,75.4
611,Wyoming,2015-12-01,35.9
612,Alaska,2016-01-01,35.2
613,Alabama,2016-01-01,194.5
614,Arkansas,2016-01-01,113.8
615,Arizona,2016-01-01,303.9
616,California,2016-01-01,1873.4
617,Colorado,2016-01-01,319.1
618,Connecticut,2016-01-01,151.7
619,District of Columbia,2016-01-01,73.8
620,Delaware,2016-01-01,48.7
621,Florida,2016-01-01,1163.0
622,Georgia,2016-01-01,458.6
623,Hawaii,2016-01-01,120.4
624,Iowa,2016-01-01,141.7
625,Idaho,2016-01-01,71.0
626,Illinois,2016-01-01,593.3
627,Indiana,2016-01-01,303.7
628,Kansas,2016-01-01,126.8
629,Kentucky,2016-01-01,191.0
630,Louisiana,2016-01-01,231.9
631,Massachusetts,2016-01-01,356.3
632,Maryland,2016-01-01,270.9
633,Maine,2016-01-01,65.2
634,Michigan,2016-01-01,420.3
635,Minnesota,2016-01-01,263.3
636,Missouri,2016-01-01,296.7
637,Mississippi,2016-01-01,131.9
638,Montana,2016-01-01,63.7
639,North Carolina,2016-01-01,473.0
640,North Dakota,2016-01-01,40.3
641,Nebraska,2016-01-01,89.4
642,New Hampshire,2016-01-01,69.2
643,New Jersey,2016-01-01,364.9
644,New Mexico,2016-01-01,94.8
645,Nevada,2016-01-01,341.9
646,New York,2016-01-01,910.3
647,Ohio,2016-01-01,549.6
648,Oklahoma,2016-01-01,164.5
649,Oregon,2016-01-01,196.3
650,Pennsylvania,2016-01-01,550.7
651,Rhode Island,2016-01-01,57.2
652,South Carolina,2016-01-01,243.7
653,South Dakota,2016-01-01,46.6
654,Tennessee,2016-01-01,315.2
655,Texas,2016-01-01,1274.0
656,Utah,2016-01-01,135.9
657,Virginia,2016-01-01,396.0
658,Vermont,2016-01-01,35.8
659,Washington,2016-01-01,317.1
660,Wisconsin,2016-01-01,273.7
661,West Virginia,2016-01-01,75.0
662,Wyoming,2016-01-01,35.6
663,Alaska,2016-02-01,35.2
664,Alabama,2016-02-01,195.4
665,Arkansas,2016-02-01,114.4
666,Arizona,2016-02-01,305.4
667,California,2016-02-01,1878.6
668,Colorado,2016-02-01,320.6
669,Connecticut,2016-02-01,152.8
670,District of Columbia,2016-02-01,74.6
671,Delaware,2016-02-01,49.0
672,Florida,2016-02-01,1166.5
673,Georgia,2016-02-01,459.3
674,Hawaii,2016-02-01,120.9
675,Iowa,2016-02-01,142.1
676,Idaho,2016-02-01,71.5
677,Illinois,2016-02-01,592.6
678,Indiana,2016-02-01,304.7
679,Kansas,2016-02-01,127.4
680,Kentucky,2016-02-01,191.1
681,Louisiana,2016-02-01,231.2
682,Massachusetts,2016-02-01,358.1
683,Maryland,2016-02-01,270.8
684,Maine,2016-02-01,65.5
685,Michigan,2016-02-01,422.3
686,Minnesota,2016-02-01,263.3
687,Missouri,2016-02-01,297.6
688,Mississippi,2016-02-01,132.5
689,Montana,2016-02-01,64.0
690,North Carolina,2016-02-01,474.5
691,North Dakota,2016-02-01,39.8
692,Nebraska,2016-02-01,89.5
693,New Hampshire,2016-02-01,69.7
694,New Jersey,2016-02-01,366.7
695,New Mexico,2016-02-01,95.4
696,Nevada,2016-02-01,342.3
697,New York,2016-02-01,912.5
