,variable,value
Pennsylvania,1998-11-01,871.5
Rhode Island,1998-11-01,73.9
South Carolina,1998-11-01,339.5
South Dakota,1998-11-01,43.9
District of Columbia,1998-11-01,3.9
Alabama,1998-11-01,362.5
Tennessee,1998-11-01,501.9
Texas,1998-11-01,1079.9
Utah,1998-11-01,126.8
Virginia,1998-11-01,374.6
Vermont,1998-11-01,44.3
Washington,1998-11-01,356.7
Wisconsin,1998-11-01,596.3
West Virginia,1998-11-01,77.5
Wyoming,1998-11-01,10.3
Alaska,1998-12-01,13.3
Arkansas,1998-12-01,240.5
Arizona,1998-12-01,205.8
California,1998-12-01,1835.8
Colorado,1998-12-01,189.6
Connecticut,1998-12-01,243.1
Delaware,1998-12-01,44.6
Florida,1998-12-01,479.5
Georgia,1998-12-01,553.6
Hawaii,1998-12-01,15.7
Iowa,1998-12-01,254.3
Idaho,1998-12-01,68.8
Illinois,1998-12-01,898.2
Indiana,1998-12-01,654.8
Kansas,1998-12-01,206.4
Kentucky,1998-12-01,307.1
Louisiana,1998-12-01,183.5
Massachusetts,1998-12-01,405.1
Maryland,1998-12-01,174.3
Maine,1998-12-01,80.7
Michigan,1998-12-01,884.9
Minnesota,1998-12-01,396.0
Missouri,1998-12-01,377.0
Mississippi,1998-12-01,236.0
Montana,1998-12-01,22.5
North Carolina,1998-12-01,787.5
North Dakota,1998-12-01,22.3
Nebraska,1998-12-01,113.4
New Hampshire,1998-12-01,102.2
New Jersey,1998-12-01,421.5
New Mexico,1998-12-01,41.7
Nevada,1998-12-01,40.9
New York,1998-12-01,780.2
Ohio,1998-12-01,1031.3
Oklahoma,1998-12-01,186.0
Oregon,1998-12-01,225.4
Pennsylvania,1998-12-01,870.3
Rhode Island,1998-12-01,73.3
South Carolina,1998-12-01,339.2
South Dakota,1998-12-01,44.0
District of Columbia,1998-12-01,3.9
Alabama,1998-12-01,362.0
Tennessee,1998-12-01,501.8
Texas,1998-12-01,1079.9
Utah,1998-12-01,126.9
Virginia,1998-12-01,373.8
Vermont,1998-12-01,44.7
Washington,1998-12-01,354.7
Wisconsin,1998-12-01,596.9
West Virginia,1998-12-01,77.6
Wyoming,1998-12-01,10.3
Alaska,1999-01-01,14.2
Arkansas,1999-01-01,240.5
Arizona,1999-01-01,206.5
California,1999-01-01,1828.5
Colorado,1999-01-01,187.7
Connecticut,1999-01-01,242.5
Delaware,1999-01-01,44.4
Florida,1999-01-01,479.6
Georgia,1999-01-01,546.0
Hawaii,1999-01-01,15.7
Iowa,1999-01-01,253.6
Idaho,1999-01-01,68.4
Illinois,1999-01-01,893.1
Indiana,1999-01-01,662.5
Kansas,1999-01-01,206.1
Kentucky,1999-01-01,308.1
Louisiana,1999-01-01,183.8
Massachusetts,1999-01-01,402.8
Maryland,1999-01-01,174.2
Maine,1999-01-01,80.9
Michigan,1999-01-01,885.0
Minnesota,1999-01-01,397.3
Missouri,1999-01-01,375.4
Mississippi,1999-01-01,235.5
Montana,1999-01-01,22.6
North Carolina,1999-01-01,788.7
North Dakota,1999-01-01,22.6
Nebraska,1999-01-01,113.4
New Hampshire,1999-01-01,102.1
New Jersey,1999-01-01,425.1
New Mexico,1999-01-01,41.6
Nevada,1999-01-01,40.7
New York,1999-01-01,780.9
Ohio,1999-01-01,1031.5
Oklahoma,1999-01-01,185.4
Oregon,1999-01-01,225.2
Pennsylvania,1999-01-01,868.2
Rhode Island,1999-01-01,72.9
South Carolina,1999-01-01,340.0
South Dakota,1999-01-01,44.2
District of Columbia,1999-01-01,4.0
Alabama,1999-01-01,360.0
Tennessee,1999-01-01,501.1
Texas,1999-01-01,1073.7
Utah,1999-01-01,124.2
Virginia,1999-01-01,369.9
Vermont,1999-01-01,44.9
Washington,1999-01-01,351.6
Wisconsin,1999-01-01,594.4
West Virginia,1999-01-01,76.6
Wyoming,1999-01-01,10.3
Alaska,1999-02-01,13.3
Arkansas,1999-02-01,240.6
Arizona,1999-02-01,206.7
California,1999-02-01,1827.8
Colorado,1999-02-01,187.7
Connecticut,1999-02-01,241.6
Delaware,1999-02-01,44.1
Florida,1999-02-01,480.0
Georgia,1999-02-01,544.7
Hawaii,1999-02-01,15.8
Iowa,1999-02-01,254.8
Idaho,1999-02-01,68.6
Illinois,1999-02-01,892.3
Indiana,1999-02-01,662.8
Kansas,1999-02-01,206.0
Kentucky,1999-02-01,309.1
Louisiana,1999-02-01,184.0
Massachusetts,1999-02-01,401.5
Maryland,1999-02-01,174.4
Maine,1999-02-01,80.8
Michigan,1999-02-01,884.5
Minnesota,1999-02-01,396.1
Missouri,1999-02-01,376.1
Mississippi,1999-02-01,234.8
Montana,1999-02-01,22.5
North Carolina,1999-02-01,785.8
North Dakota,1999-02-01,22.6
Nebraska,1999-02-01,114.1
New Hampshire,1999-02-01,101.7
New Jersey,1999-02-01,423.8
New Mexico,1999-02-01,41.6
Nevada,1999-02-01,40.7
New York,1999-02-01,778.3
Ohio,1999-02-01,1029.2
Oklahoma,1999-02-01,185.3
Oregon,1999-02-01,225.1
Pennsylvania,1999-02-01,868.6
Rhode Island,1999-02-01,73.0
South Carolina,1999-02-01,338.2
South Dakota,1999-02-01,44.3
District of Columbia,1999-02-01,4.0
Alabama,1999-02-01,358.1
Tennessee,1999-02-01,500.5
Texas,1999-02-01,1072.6
Utah,1999-02-01,126.0
Virginia,1999-02-01,369.4
Vermont,1999-02-01,44.8
Washington,1999-02-01,350.5
Wisconsin,1999-02-01,595.6
West Virginia,1999-02-01,76.5
Wyoming,1999-02-01,10.2
Alaska,1999-03-01,13.7
Arkansas,1999-03-01,240.1
Arizona,1999-03-01,206.9
California,1999-03-01,1824.4
Colorado,1999-03-01,185.9
Connecticut,1999-03-01,241.2
Delaware,1999-03-01,44.1
Florida,1999-03-01,479.5
Georgia,1999-03-01,545.1
Hawaii,1999-03-01,15.8
Iowa,1999-03-01,254.6
Idaho,1999-03-01,68.6
Illinois,1999-03-01,882.9
Indiana,1999-03-01,663.0
Kansas,1999-03-01,205.7
Kentucky,1999-03-01,309.5
Louisiana,1999-03-01,183.4
Massachusetts,1999-03-01,400.2
Maryland,1999-03-01,173.8
Maine,1999-03-01,81.0
Michigan,1999-03-01,888.3
Minnesota,1999-03-01,395.9
Missouri,1999-03-01,375.4
Mississippi,1999-03-01,234.8
Montana,1999-03-01,22.5
North Carolina,1999-03-01,784.2
North Dakota,1999-03-01,22.6
Nebraska,1999-03-01,114.0
New Hampshire,1999-03-01,101.5
New Jersey,1999-03-01,422.6
New Mexico,1999-03-01,41.3
Nevada,1999-03-01,40.7
New York,1999-03-01,775.0
Ohio,1999-03-01,1029.0
Oklahoma,1999-03-01,185.0
Oregon,1999-03-01,225.0
Pennsylvania,1999-03-01,867.8
Rhode Island,1999-03-01,72.7
South Carolina,1999-03-01,337.6
South Dakota,1999-03-01,44.0
District of Columbia,1999-03-01,4.0
Alabama,1999-03-01,356.9
Tennessee,1999-03-01,501.3
Texas,1999-03-01,1071.0
Utah,1999-03-01,126.2
Virginia,1999-03-01,368.5
Vermont,1999-03-01,45.3
Washington,1999-03-01,348.6
Wisconsin,1999-03-01,595.7
West Virginia,1999-03-01,76.8
Wyoming,1999-03-01,10.3
Alaska,1999-04-01,13.1
Arkansas,1999-04-01,240.8
Arizona,1999-04-01,207.2
California,1999-04-01,1825.4
Colorado,1999-04-01,187.9
Connecticut,1999-04-01,240.6
Delaware,1999-04-01,44.1
Florida,1999-04-01,478.6
Georgia,1999-04-01,546.5
Hawaii,1999-04-01,15.9
Iowa,1999-04-01,254.9
Idaho,1999-04-01,69.1
Illinois,1999-04-01,883.1
Indiana,1999-04-01,662.5
Kansas,1999-04-01,204.1
Kentucky,1999-04-01,308.1
Louisiana,1999-04-01,182.5
Massachusetts,1999-04-01,400.5
Maryland,1999-04-01,173.5
Maine,1999-04-01,81.0
Michigan,1999-04-01,885.5
Minnesota,1999-04-01,395.6
Missouri,1999-04-01,375.4
Mississippi,1999-04-01,234.1
Montana,1999-04-01,22.6
North Carolina,1999-04-01,781.7
North Dakota,1999-04-01,22.7
Nebraska,1999-04-01,113.0
New Hampshire,1999-04-01,101.3
New Jersey,1999-04-01,421.6
New Mexico,1999-04-01,41.2
Nevada,1999-04-01,40.8
New York,1999-04-01,775.7
Ohio,1999-04-01,1029.2
Oklahoma,1999-04-01,184.9
Oregon,1999-04-01,224.8
Pennsylvania,1999-04-01,867.6
Rhode Island,1999-04-01,72.8
South Carolina,1999-04-01,336.0
South Dakota,1999-04-01,44.2
District of Columbia,1999-04-01,3.9
Alabama,1999-04-01,361.4
Tennessee,1999-04-01,500.6
Texas,1999-04-01,1063.3
Utah,1999-04-01,126.8
Virginia,1999-04-01,363.4
Vermont,1999-04-01,45.0
Washington,1999-04-01,347.4
Wisconsin,1999-04-01,595.3
West Virginia,1999-04-01,77.0
Wyoming,1999-04-01,10.3
Alaska,1999-05-01,13.2
Arkansas,1999-05-01,240.6
Arizona,1999-05-01,207.4
California,1999-05-01,1821.4
Colorado,1999-05-01,187.0
Connecticut,1999-05-01,239.4
Delaware,1999-05-01,44.0
Florida,1999-05-01,479.3
Georgia,1999-05-01,546.3
Hawaii,1999-05-01,16.0
Iowa,1999-05-01,255.0
Idaho,1999-05-01,69.2
Illinois,1999-05-01,881.8
Indiana,1999-05-01,662.5
Kansas,1999-05-01,203.6
Kentucky,1999-05-01,307.8
Louisiana,1999-05-01,182.1
Massachusetts,1999-05-01,399.3
Maryland,1999-05-01,172.8
Maine,1999-05-01,80.3
Michigan,1999-05-01,886.9
Minnesota,1999-05-01,395.3
Missouri,1999-05-01,373.9
Mississippi,1999-05-01,233.5
Montana,1999-05-01,22.5
North Carolina,1999-05-01,780.2
North Dakota,1999-05-01,22.8
Nebraska,1999-05-01,112.1
New Hampshire,1999-05-01,100.9
New Jersey,1999-05-01,420.7
New Mexico,1999-05-01,41.1
Nevada,1999-05-01,40.9
New York,1999-05-01,774.4
Ohio,1999-05-01,1027.4
Oklahoma,1999-05-01,185.5
Oregon,1999-05-01,223.6
Pennsylvania,1999-05-01,866.5
Rhode Island,1999-05-01,72.7
South Carolina,1999-05-01,335.4
South Dakota,1999-05-01,44.2
District of Columbia,1999-05-01,3.9
Alabama,1999-05-01,361.0
Tennessee,1999-05-01,499.6
Texas,1999-05-01,1061.4
Utah,1999-05-01,127.0
Virginia,1999-05-01,364.2
Vermont,1999-05-01,45.1
Washington,1999-05-01,345.7
Wisconsin,1999-05-01,594.8
West Virginia,1999-05-01,76.8
Wyoming,1999-05-01,10.3
Alaska,1999-06-01,12.5
Arkansas,1999-06-01,240.4
Arizona,1999-06-01,207.3
California,1999-06-01,1821.4
Colorado,1999-06-01,186.1
Connecticut,1999-06-01,238.5
Delaware,1999-06-01,44.2
Florida,1999-06-01,478.6
Georgia,1999-06-01,547.5
Hawaii,1999-06-01,15.9
Iowa,1999-06-01,254.4
Idaho,1999-06-01,68.9
Illinois,1999-06-01,882.5
Indiana,1999-06-01,662.8
Kansas,1999-06-01,203.1
Kentucky,1999-06-01,308.3
Louisiana,1999-06-01,181.9
Massachusetts,1999-06-01,398.2
Maryland,1999-06-01,172.3
Maine,1999-06-01,80.4
Michigan,1999-06-01,887.6
Minnesota,1999-06-01,395.5
Missouri,1999-06-01,374.2
Mississippi,1999-06-01,234.1
Montana,1999-06-01,22.4
North Carolina,1999-06-01,776.9
North Dakota,1999-06-01,23.0
Nebraska,1999-06-01,112.2
New Hampshire,1999-06-01,101.2
New Jersey,1999-06-01,419.9
New Mexico,1999-06-01,41.1
Nevada,1999-06-01,40.9
New York,1999-06-01,772.1
Ohio,1999-06-01,1026.6
Oklahoma,1999-06-01,185.7
Oregon,1999-06-01,222.7
Pennsylvania,1999-06-01,865.9
Rhode Island,1999-06-01,72.5
South Carolina,1999-06-01,334.8
South Dakota,1999-06-01,44.0
District of Columbia,1999-06-01,4.0
Alabama,1999-06-01,359.7
Tennessee,1999-06-01,498.1
Texas,1999-06-01,1060.0
Utah,1999-06-01,127.0
Virginia,1999-06-01,365.2
Vermont,1999-06-01,44.9
Washington,1999-06-01,343.7
Wisconsin,1999-06-01,594.9
West Virginia,1999-06-01,76.1
Wyoming,1999-06-01,10.3
Alaska,1999-07-01,12.7
Arkansas,1999-07-01,241.2
Arizona,1999-07-01,208.1
California,1999-07-01,1825.9
Colorado,1999-07-01,185.4
Connecticut,1999-07-01,238.7
Delaware,1999-07-01,42.0
Florida,1999-07-01,477.5
Georgia,1999-07-01,549.1
Hawaii,1999-07-01,16.1
Iowa,1999-07-01,251.8
Idaho,1999-07-01,69.5
Illinois,1999-07-01,881.8
Indiana,1999-07-01,664.5
Kansas,1999-07-01,203.2
Kentucky,1999-07-01,310.8
Louisiana,1999-07-01,181.2
Massachusetts,1999-07-01,400.2
Maryland,1999-07-01,173.7
Maine,1999-07-01,80.0
Michigan,1999-07-01,898.5
Minnesota,1999-07-01,395.0
Missouri,1999-07-01,373.7
Mississippi,1999-07-01,233.8
Montana,1999-07-01,22.7
North Carolina,1999-07-01,776.7
North Dakota,1999-07-01,22.5
Nebraska,1999-07-01,112.7
New Hampshire,1999-07-01,101.1
New Jersey,1999-07-01,420.0
New Mexico,1999-07-01,41.3
Nevada,1999-07-01,40.9
New York,1999-07-01,769.8
Ohio,1999-07-01,1027.0
Oklahoma,1999-07-01,186.1
Oregon,1999-07-01,224.7
Pennsylvania,1999-07-01,861.6
Rhode Island,1999-07-01,71.9
South Carolina,1999-07-01,336.6
South Dakota,1999-07-01,44.0
District of Columbia,1999-07-01,3.8
Alabama,1999-07-01,358.0
Tennessee,1999-07-01,502.7
Texas,1999-07-01,1062.6
Utah,1999-07-01,126.7
Virginia,1999-07-01,365.9
Vermont,1999-07-01,45.4
Washington,1999-07-01,341.5
Wisconsin,1999-07-01,598.7
West Virginia,1999-07-01,76.8
Wyoming,1999-07-01,10.3
Alaska,1999-08-01,12.9
Arkansas,1999-08-01,240.6
Arizona,1999-08-01,208.2
California,1999-08-01,1823.5
Colorado,1999-08-01,184.8
Connecticut,1999-08-01,238.2
Delaware,1999-08-01,44.1
Florida,1999-08-01,477.3
Georgia,1999-08-01,546.4
Hawaii,1999-08-01,16.1
Iowa,1999-08-01,252.1
Idaho,1999-08-01,69.5
Illinois,1999-08-01,880.9
Indiana,1999-08-01,664.3
Kansas,1999-08-01,202.1
Kentucky,1999-08-01,309.6
Louisiana,1999-08-01,180.3
Massachusetts,1999-08-01,398.9
Maryland,1999-08-01,173.8
Maine,1999-08-01,80.1
Michigan,1999-08-01,894.8
Minnesota,1999-08-01,396.0
Missouri,1999-08-01,372.8
Mississippi,1999-08-01,232.5
Montana,1999-08-01,22.6
North Carolina,1999-08-01,771.9
North Dakota,1999-08-01,22.7
Nebraska,1999-08-01,112.7
New Hampshire,1999-08-01,101.1
New Jersey,1999-08-01,419.4
New Mexico,1999-08-01,41.4
Nevada,1999-08-01,40.9
New York,1999-08-01,768.5
Ohio,1999-08-01,1029.8
Oklahoma,1999-08-01,185.7
Oregon,1999-08-01,223.9
Pennsylvania,1999-08-01,861.4
Rhode Island,1999-08-01,72.1
South Carolina,1999-08-01,334.4
South Dakota,1999-08-01,44.0
District of Columbia,1999-08-01,3.7
Alabama,1999-08-01,356.7
Tennessee,1999-08-01,502.3
Texas,1999-08-01,1062.1
Utah,1999-08-01,126.3
Virginia,1999-08-01,368.0
Vermont,1999-08-01,45.5
Washington,1999-08-01,341.4
Wisconsin,1999-08-01,598.3
West Virginia,1999-08-01,77.1
Wyoming,1999-08-01,10.2
Alaska,1999-09-01,13.1
Arkansas,1999-09-01,240.8
Arizona,1999-09-01,207.8
California,1999-09-01,1831.5
Colorado,1999-09-01,185.1
Connecticut,1999-09-01,236.8
Delaware,1999-09-01,44.0
Florida,1999-09-01,476.0
Georgia,1999-09-01,546.4
Hawaii,1999-09-01,16.2
Iowa,1999-09-01,252.1
Idaho,1999-09-01,69.2
Illinois,1999-09-01,880.9
Indiana,1999-09-01,666.6
Kansas,1999-09-01,201.4
Kentucky,1999-09-01,310.4
Louisiana,1999-09-01,180.5
Massachusetts,1999-09-01,398.1
Maryland,1999-09-01,174.1
Maine,1999-09-01,80.1
Michigan,1999-09-01,894.9
Minnesota,1999-09-01,394.6
Missouri,1999-09-01,373.0
Mississippi,1999-09-01,232.0
Montana,1999-09-01,22.6
North Carolina,1999-09-01,770.8
North Dakota,1999-09-01,22.7
Nebraska,1999-09-01,112.6
New Hampshire,1999-09-01,100.9
New Jersey,1999-09-01,420.2
New Mexico,1999-09-01,41.3
Nevada,1999-09-01,41.2
New York,1999-09-01,766.8
Ohio,1999-09-01,1028.5
Oklahoma,1999-09-01,186.1
Oregon,1999-09-01,224.3
Pennsylvania,1999-09-01,862.1
Rhode Island,1999-09-01,71.7
South Carolina,1999-09-01,334.0
South Dakota,1999-09-01,44.0
District of Columbia,1999-09-01,3.7
Alabama,1999-09-01,355.8
Tennessee,1999-09-01,502.8
Texas,1999-09-01,1062.4
Utah,1999-09-01,126.6
Virginia,1999-09-01,368.7
Vermont,1999-09-01,45.4
Washington,1999-09-01,339.0
Wisconsin,1999-09-01,597.6
West Virginia,1999-09-01,77.4
Wyoming,1999-09-01,10.2
Alaska,1999-10-01,13.2
Arkansas,1999-10-01,240.8
Arizona,1999-10-01,208.1
California,1999-10-01,1837.0
Colorado,1999-10-01,185.4
Connecticut,1999-10-01,236.2
Delaware,1999-10-01,44.4
Florida,1999-10-01,478.3
Georgia,1999-10-01,543.8
Hawaii,1999-10-01,16.2
Iowa,1999-10-01,250.0
Idaho,1999-10-01,69.0
Illinois,1999-10-01,881.7
Indiana,1999-10-01,668.4
Kansas,1999-10-01,200.8
Kentucky,1999-10-01,309.7
Louisiana,1999-10-01,178.5
Massachusetts,1999-10-01,397.9
Maryland,1999-10-01,173.9
Maine,1999-10-01,81.1
Michigan,1999-10-01,884.3
Minnesota,1999-10-01,394.9
Missouri,1999-10-01,371.9
Mississippi,1999-10-01,230.8
Montana,1999-10-01,22.7
North Carolina,1999-10-01,770.1
North Dakota,1999-10-01,22.9
Nebraska,1999-10-01,112.8
New Hampshire,1999-10-01,101.2
New Jersey,1999-10-01,421.2
New Mexico,1999-10-01,41.1
Nevada,1999-10-01,41.3
New York,1999-10-01,769.1
Ohio,1999-10-01,1028.3
Oklahoma,1999-10-01,185.4
Oregon,1999-10-01,224.3
Pennsylvania,1999-10-01,864.2
Rhode Island,1999-10-01,71.4
South Carolina,1999-10-01,335.4
South Dakota,1999-10-01,44.3
District of Columbia,1999-10-01,3.7
Alabama,1999-10-01,354.8
Tennessee,1999-10-01,501.7
Texas,1999-10-01,1063.2
Utah,1999-10-01,126.4
Virginia,1999-10-01,369.1
Vermont,1999-10-01,45.5
Washington,1999-10-01,338.4
Wisconsin,1999-10-01,595.9
West Virginia,1999-10-01,77.3
Wyoming,1999-10-01,10.2
Alaska,1999-11-01,13.3
Arkansas,1999-11-01,241.0
Arizona,1999-11-01,208.1
California,1999-11-01,1834.6
Colorado,1999-11-01,185.7
Connecticut,1999-11-01,235.8
Delaware,1999-11-01,44.6
Florida,1999-11-01,478.1
Georgia,1999-11-01,542.7
Hawaii,1999-11-01,16.3
Iowa,1999-11-01,250.0
Idaho,1999-11-01,69.0
Illinois,1999-11-01,881.9
Indiana,1999-11-01,670.2
Kansas,1999-11-01,200.3
Kentucky,1999-11-01,309.9
Louisiana,1999-11-01,178.7
Massachusetts,1999-11-01,398.6
Maryland,1999-11-01,173.7
Maine,1999-11-01,80.7
Michigan,1999-11-01,884.1
Minnesota,1999-11-01,395.7
Missouri,1999-11-01,371.0
Mississippi,1999-11-01,230.0
Montana,1999-11-01,22.7
North Carolina,1999-11-01,769.2
North Dakota,1999-11-01,22.9
Nebraska,1999-11-01,112.5
New Hampshire,1999-11-01,101.0
New Jersey,1999-11-01,421.5
New Mexico,1999-11-01,41.1
Nevada,1999-11-01,41.7
New York,1999-11-01,770.0
Ohio,1999-11-01,1029.1
Oklahoma,1999-11-01,185.1
Oregon,1999-11-01,225.1
Pennsylvania,1999-11-01,865.3
Rhode Island,1999-11-01,71.3
South Carolina,1999-11-01,335.6
South Dakota,1999-11-01,44.7
District of Columbia,1999-11-01,3.9
Alabama,1999-11-01,355.0
Tennessee,1999-11-01,501.2
Texas,1999-11-01,1064.5
Utah,1999-11-01,126.3
Virginia,1999-11-01,367.4
Vermont,1999-11-01,45.7
Washington,1999-11-01,338.2
Wisconsin,1999-11-01,595.8
West Virginia,1999-11-01,77.0
Wyoming,1999-11-01,10.2
Alaska,1999-12-01,13.8
Arkansas,1999-12-01,241.3
Arizona,1999-12-01,208.2
California,1999-12-01,1834.2
Colorado,1999-12-01,186.1
Connecticut,1999-12-01,235.6
Delaware,1999-12-01,44.4
Florida,1999-12-01,478.5
Georgia,1999-12-01,542.8
Hawaii,1999-12-01,16.3
Iowa,1999-12-01,250.9
Idaho,1999-12-01,69.3
Illinois,1999-12-01,880.8
Indiana,1999-12-01,671.3
Kansas,1999-12-01,200.9
Kentucky,1999-12-01,310.0
Louisiana,1999-12-01,178.5
Massachusetts,1999-12-01,399.1
Maryland,1999-12-01,173.9
Maine,1999-12-01,80.3
Michigan,1999-12-01,881.9
Minnesota,1999-12-01,395.5
Missouri,1999-12-01,370.9
Mississippi,1999-12-01,229.4
Montana,1999-12-01,22.8
North Carolina,1999-12-01,767.9
North Dakota,1999-12-01,23.1
Nebraska,1999-12-01,112.6
New Hampshire,1999-12-01,100.9
New Jersey,1999-12-01,421.5
New Mexico,1999-12-01,41.4
Nevada,1999-12-01,41.9
New York,1999-12-01,769.5
Ohio,1999-12-01,1031.5
Oklahoma,1999-12-01,185.2
Oregon,1999-12-01,225.1
Pennsylvania,1999-12-01,865.3
Rhode Island,1999-12-01,71.0
South Carolina,1999-12-01,335.9
South Dakota,1999-12-01,44.5
District of Columbia,1999-12-01,3.9
Alabama,1999-12-01,354.9
Tennessee,1999-12-01,501.2
Texas,1999-12-01,1066.4
Utah,1999-12-01,126.3
Virginia,1999-12-01,367.3
Vermont,1999-12-01,45.7
Washington,1999-12-01,336.7
Wisconsin,1999-12-01,598.9
West Virginia,1999-12-01,77.0
Wyoming,1999-12-01,10.3
Alaska,2000-01-01,12.6
Arkansas,2000-01-01,241.4
Arizona,2000-01-01,208.2
California,2000-01-01,1839.2
Colorado,2000-01-01,188.1
Connecticut,2000-01-01,233.9
Delaware,2000-01-01,40.4
Florida,2000-01-01,476.4
Georgia,2000-01-01,538.7
Hawaii,2000-01-01,16.3
Iowa,2000-01-01,251.4
Idaho,2000-01-01,69.9
Illinois,2000-01-01,879.0
Indiana,2000-01-01,670.8
Kansas,2000-01-01,201.0
Kentucky,2000-01-01,310.1
Louisiana,2000-01-01,179.4
Massachusetts,2000-01-01,399.8
Maryland,2000-01-01,173.7
Maine,2000-01-01,80.8
Michigan,2000-01-01,888.1
Minnesota,2000-01-01,396.1
Missouri,2000-01-01,371.1
Mississippi,2000-01-01,228.3
Montana,2000-01-01,22.7
North Carolina,2000-01-01,765.0
North Dakota,2000-01-01,23.2
Nebraska,2000-01-01,113.2
New Hampshire,2000-01-01,101.5
New Jersey,2000-01-01,422.3
New Mexico,2000-01-01,41.4
Nevada,2000-01-01,42.0
New York,2000-01-01,764.8
Ohio,2000-01-01,1032.8
Oklahoma,2000-01-01,185.1
Oregon,2000-01-01,224.6
Pennsylvania,2000-01-01,866.2
Rhode Island,2000-01-01,71.1
South Carolina,2000-01-01,336.1
South Dakota,2000-01-01,44.1
District of Columbia,2000-01-01,3.8
Alabama,2000-01-01,356.6
Tennessee,2000-01-01,501.5
Texas,2000-01-01,1068.6
Utah,2000-01-01,126.0
Virginia,2000-01-01,368.9
Vermont,2000-01-01,45.6
Washington,2000-01-01,337.9
Wisconsin,2000-01-01,598.0
West Virginia,2000-01-01,77.5
Wyoming,2000-01-01,10.3
Alaska,2000-02-01,11.6
Arkansas,2000-02-01,241.6
Arizona,2000-02-01,208.6
California,2000-02-01,1840.4
Colorado,2000-02-01,187.8
Connecticut,2000-02-01,234.2
Delaware,2000-02-01,41.9
Florida,2000-02-01,476.5
Georgia,2000-02-01,538.3
Hawaii,2000-02-01,16.2
Iowa,2000-02-01,251.4
Idaho,2000-02-01,70.0
Illinois,2000-02-01,878.3
Indiana,2000-02-01,670.4
Kansas,2000-02-01,200.8
Kentucky,2000-02-01,309.4
Louisiana,2000-02-01,178.3
Massachusetts,2000-02-01,399.7
Maryland,2000-02-01,173.7
Maine,2000-02-01,81.2
Michigan,2000-02-01,889.5
Minnesota,2000-02-01,395.9
Missouri,2000-02-01,369.0
Mississippi,2000-02-01,227.3
Montana,2000-02-01,22.8
North Carolina,2000-02-01,765.2
North Dakota,2000-02-01,23.3
Nebraska,2000-02-01,113.4
New Hampshire,2000-02-01,101.3
New Jersey,2000-02-01,421.7
New Mexico,2000-02-01,41.6
Nevada,2000-02-01,42.3
New York,2000-02-01,761.4
Ohio,2000-02-01,1033.2
Oklahoma,2000-02-01,184.5
Oregon,2000-02-01,224.7
Pennsylvania,2000-02-01,865.3
Rhode Island,2000-02-01,71.1
South Carolina,2000-02-01,336.4
South Dakota,2000-02-01,44.2
District of Columbia,2000-02-01,3.6
Alabama,2000-02-01,356.1
Tennessee,2000-02-01,501.0
Texas,2000-02-01,1071.5
Utah,2000-02-01,126.0
Virginia,2000-02-01,368.1
Vermont,2000-02-01,45.8
Washington,2000-02-01,323.2
Wisconsin,2000-02-01,599.4
West Virginia,2000-02-01,77.0
Wyoming,2000-02-01,10.5
Alaska,2000-03-01,11.5
Arkansas,2000-03-01,242.0
Arizona,2000-03-01,208.6
California,2000-03-01,1841.5
Colorado,2000-03-01,187.8
Connecticut,2000-03-01,233.6
Delaware,2000-03-01,41.6
Florida,2000-03-01,477.9
Georgia,2000-03-01,538.7
Hawaii,2000-03-01,16.3
Iowa,2000-03-01,251.9
Idaho,2000-03-01,70.1
Illinois,2000-03-01,878.1
Indiana,2000-03-01,669.7
Kansas,2000-03-01,200.7
Kentucky,2000-03-01,309.7
Louisiana,2000-03-01,178.0
Massachusetts,2000-03-01,400.1
Maryland,2000-03-01,174.3
Maine,2000-03-01,81.1
Michigan,2000-03-01,885.1
Minnesota,2000-03-01,396.2
Missouri,2000-03-01,367.5
Mississippi,2000-03-01,226.7
Montana,2000-03-01,22.8
North Carolina,2000-03-01,763.8
North Dakota,2000-03-01,23.4
Nebraska,2000-03-01,114.3
New Hampshire,2000-03-01,101.3
New Jersey,2000-03-01,420.8
New Mexico,2000-03-01,41.6
Nevada,2000-03-01,42.4
New York,2000-03-01,757.4
Ohio,2000-03-01,1031.8
Oklahoma,2000-03-01,185.3
Oregon,2000-03-01,225.0
Pennsylvania,2000-03-01,866.6
Rhode Island,2000-03-01,71.0
South Carolina,2000-03-01,336.3
South Dakota,2000-03-01,44.2
District of Columbia,2000-03-01,3.6
Alabama,2000-03-01,356.0
Tennessee,2000-03-01,499.6
Texas,2000-03-01,1072.9
Utah,2000-03-01,125.9
Virginia,2000-03-01,367.0
Vermont,2000-03-01,46.1
Washington,2000-03-01,337.6
Wisconsin,2000-03-01,600.0
West Virginia,2000-03-01,76.7
Wyoming,2000-03-01,10.4
Alaska,2000-04-01,12.3
Arkansas,2000-04-01,241.8
Arizona,2000-04-01,208.9
California,2000-04-01,1842.1
Colorado,2000-04-01,187.2
Connecticut,2000-04-01,233.7
Delaware,2000-04-01,41.4
Florida,2000-04-01,478.6
Georgia,2000-04-01,538.6
Hawaii,2000-04-01,16.4
Iowa,2000-04-01,251.9
Idaho,2000-04-01,70.1
Illinois,2000-04-01,877.3
Indiana,2000-04-01,669.1
Kansas,2000-04-01,200.1
Kentucky,2000-04-01,311.9
Louisiana,2000-04-01,177.8
Massachusetts,2000-04-01,401.0
