,variable,value
Alabama,2015-04-01,2173967.0
Arkansas,2015-04-01,1334305.0
Arizona,2015-04-01,3101717.0
California,2015-04-01,18848322.0
Colorado,2015-04-01,2811615.0
Connecticut,2015-04-01,1910119.0
District of Columbia,2015-04-01,380227.0
Delaware,2015-04-01,460259.0
Florida,2015-04-01,9569380.0
Georgia,2015-04-01,4735953.0
Hawaii,2015-04-01,681613.0
Iowa,2015-04-01,1706203.0
Idaho,2015-04-01,795780.0
Illinois,2015-04-01,6544294.0
Indiana,2015-04-01,3252300.0
Kansas,2015-04-01,1497182.0
Kentucky,2015-04-01,1982464.0
Louisiana,2015-04-01,2160724.0
Massachusetts,2015-04-01,3626445.0
Maryland,2015-04-01,3167278.0
Maine,2015-04-01,692064.0
Michigan,2015-04-01,4766275.0
Minnesota,2015-04-01,3014026.0
Missouri,2015-04-01,3051973.0
Mississippi,2015-04-01,1257989.0
Montana,2015-04-01,519870.0
North Carolina,2015-04-01,4700619.0
North Dakota,2015-04-01,413654.0
Nebraska,2015-04-01,1012259.0
New Hampshire,2015-04-01,749781.0
New Jersey,2015-04-01,4601645.0
New Mexico,2015-04-01,942216.0
Nevada,2015-04-01,1393710.0
New York,2015-04-01,9740242.0
Ohio,2015-04-01,5727608.0
Oklahoma,2015-04-01,1827272.0
Oregon,2015-04-01,1964359.0
Pennsylvania,2015-04-01,6461555.0
Rhode Island,2015-04-01,566925.0
South Carolina,2015-04-01,2240573.0
South Dakota,2015-04-01,449658.0
Tennessee,2015-04-01,3074122.0
Texas,2015-04-01,12997813.0
Utah,2015-04-01,1453518.0
Virginia,2015-04-01,4232210.0
Vermont,2015-04-01,352923.0
Washington,2015-04-01,3533695.0
Wisconsin,2015-04-01,3091466.0
West Virginia,2015-04-01,794714.0
Wyoming,2015-04-01,301225.0
Alaska,2015-05-01,361928.0
Alabama,2015-05-01,2174501.0
Arkansas,2015-05-01,1334929.0
Arizona,2015-05-01,3106411.0
California,2015-05-01,18852828.0
Colorado,2015-05-01,2813611.0
Connecticut,2015-05-01,1907097.0
District of Columbia,2015-05-01,380770.0
Delaware,2015-05-01,461075.0
Florida,2015-05-01,9578842.0
Georgia,2015-05-01,4735356.0
Hawaii,2015-05-01,682114.0
Iowa,2015-05-01,1704780.0
Idaho,2015-05-01,797796.0
Illinois,2015-05-01,6551834.0
Indiana,2015-05-01,3256839.0
Kansas,2015-05-01,1497110.0
Kentucky,2015-05-01,1980575.0
Louisiana,2015-05-01,2156254.0
Massachusetts,2015-05-01,3624724.0
Maryland,2015-05-01,3169758.0
Maine,2015-05-01,690812.0
Michigan,2015-05-01,4769372.0
Minnesota,2015-05-01,3017178.0
Missouri,2015-05-01,3052454.0
Mississippi,2015-05-01,1259898.0
Montana,2015-05-01,520065.0
North Carolina,2015-05-01,4706315.0
North Dakota,2015-05-01,412965.0
Nebraska,2015-05-01,1012908.0
New Hampshire,2015-05-01,748830.0
New Jersey,2015-05-01,4600754.0
New Mexico,2015-05-01,942410.0
Nevada,2015-05-01,1394779.0
New York,2015-05-01,9744552.0
Ohio,2015-05-01,5726888.0
Oklahoma,2015-05-01,1828834.0
Oregon,2015-05-01,1968414.0
Pennsylvania,2015-05-01,6468552.0
Rhode Island,2015-05-01,566373.0
South Carolina,2015-05-01,2241910.0
South Dakota,2015-05-01,449843.0
Tennessee,2015-05-01,3077173.0
Texas,2015-05-01,13004689.0
Utah,2015-05-01,1457187.0
Virginia,2015-05-01,4231145.0
Vermont,2015-05-01,352438.0
Washington,2015-05-01,3539458.0
Wisconsin,2015-05-01,3091078.0
West Virginia,2015-05-01,794426.0
Wyoming,2015-05-01,301027.0
Alaska,2015-06-01,361540.0
Alabama,2015-06-01,2173391.0
