,GeoFIPS,State,LineCode,Description,value,Year,Quarter
75,28000,Mississippi,1,"Personal income (millions of dollars, seasonally adjusted)",103684.8,2015,Q1
76,28000,Mississippi,2,"Population (midperiod, persons) 1",2986578.0,2015,Q1
77,28000,Mississippi,3,Per capita personal income (dollars) 2,34717.0,2015,Q1
78,29000,Missouri,1,"Personal income (millions of dollars, seasonally adjusted)",256436.1,2015,Q1
79,29000,Missouri,2,"Population (midperiod, persons) 1",6071697.0,2015,Q1
80,29000,Missouri,3,Per capita personal income (dollars) 2,42235.0,2015,Q1
81,30000,Montana,1,"Personal income (millions of dollars, seasonally adjusted)",44289.5,2015,Q1
82,30000,Montana,2,"Population (midperiod, persons) 1",1031179.0,2015,Q1
83,30000,Montana,3,Per capita personal income (dollars) 2,42950.0,2015,Q1
84,31000,Nebraska,1,"Personal income (millions of dollars, seasonally adjusted)",93750.6,2015,Q1
85,31000,Nebraska,2,"Population (midperiod, persons) 1",1899580.0,2015,Q1
86,31000,Nebraska,3,Per capita personal income (dollars) 2,49353.0,2015,Q1
87,32000,Nevada,1,"Personal income (millions of dollars, seasonally adjusted)",122870.1,2015,Q1
88,32000,Nevada,2,"Population (midperiod, persons) 1",2838898.0,2015,Q1
89,32000,Nevada,3,Per capita personal income (dollars) 2,43281.0,2015,Q1
90,33000,New Hampshire,1,"Personal income (millions of dollars, seasonally adjusted)",71187.7,2015,Q1
91,33000,New Hampshire,2,"Population (midperiod, persons) 1",1342255.0,2015,Q1
92,33000,New Hampshire,3,Per capita personal income (dollars) 2,53036.0,2015,Q1
93,34000,New Jersey,1,"Personal income (millions of dollars, seasonally adjusted)",524866.2,2015,Q1
94,34000,New Jersey,2,"Population (midperiod, persons) 1",9065047.0,2015,Q1
95,34000,New Jersey,3,Per capita personal income (dollars) 2,57900.0,2015,Q1
96,35000,New Mexico,1,"Personal income (millions of dollars, seasonally adjusted)",78538.7,2015,Q1
97,35000,New Mexico,2,"Population (midperiod, persons) 1",2096271.0,2015,Q1
98,35000,New Mexico,3,Per capita personal income (dollars) 2,37466.0,2015,Q1
99,36000,New York,1,"Personal income (millions of dollars, seasonally adjusted)",1118656.5,2015,Q1
100,36000,New York,2,"Population (midperiod, persons) 1",20059184.0,2015,Q1
101,36000,New York,3,Per capita personal income (dollars) 2,55768.0,2015,Q1
102,37000,North Carolina,1,"Personal income (millions of dollars, seasonally adjusted)",409428.8,2015,Q1
103,37000,North Carolina,2,"Population (midperiod, persons) 1",9932074.0,2015,Q1
104,37000,North Carolina,3,Per capita personal income (dollars) 2,41223.0,2015,Q1
105,38000,North Dakota,1,"Personal income (millions of dollars, seasonally adjusted)",41152.9,2015,Q1
106,38000,North Dakota,2,"Population (midperiod, persons) 1",756060.0,2015,Q1
107,38000,North Dakota,3,Per capita personal income (dollars) 2,54431.0,2015,Q1
108,39000,Ohio,1,"Personal income (millions of dollars, seasonally adjusted)",505183.0,2015,Q1
109,39000,Ohio,2,"Population (midperiod, persons) 1",11666779.0,2015,Q1
110,39000,Ohio,3,Per capita personal income (dollars) 2,43301.0,2015,Q1
111,40000,Oklahoma,1,"Personal income (millions of dollars, seasonally adjusted)",174549.3,2015,Q1
112,40000,Oklahoma,2,"Population (midperiod, persons) 1",3890529.0,2015,Q1
113,40000,Oklahoma,3,Per capita personal income (dollars) 2,44865.0,2015,Q1
114,41000,Oregon,1,"Personal income (millions of dollars, seasonally adjusted)",174449.7,2015,Q1
115,41000,Oregon,2,"Population (midperiod, persons) 1",3999179.0,2015,Q1
116,41000,Oregon,3,Per capita personal income (dollars) 2,43621.0,2015,Q1
117,42000,Pennsylvania,1,"Personal income (millions of dollars, seasonally adjusted)",628355.4,2015,Q1
118,42000,Pennsylvania,2,"Population (midperiod, persons) 1",12894530.0,2015,Q1
119,42000,Pennsylvania,3,Per capita personal income (dollars) 2,48730.0,2015,Q1
120,44000,Rhode Island,1,"Personal income (millions of dollars, seasonally adjusted)",51201.5,2015,Q1
121,44000,Rhode Island,2,"Population (midperiod, persons) 1",1076102.0,2015,Q1
122,44000,Rhode Island,3,Per capita personal income (dollars) 2,47581.0,2015,Q1
123,45000,South Carolina,1,"Personal income (millions of dollars, seasonally adjusted)",188487.5,2015,Q1
124,45000,South Carolina,2,"Population (midperiod, persons) 1",4828453.0,2015,Q1
125,45000,South Carolina,3,Per capita personal income (dollars) 2,39037.0,2015,Q1
126,46000,South Dakota,1,"Personal income (millions of dollars, seasonally adjusted)",40545.6,2015,Q1
127,46000,South Dakota,2,"Population (midperiod, persons) 1",850465.0,2015,Q1
128,46000,South Dakota,3,Per capita personal income (dollars) 2,47675.0,2015,Q1
129,47000,Tennessee,1,"Personal income (millions of dollars, seasonally adjusted)",273164.3,2015,Q1
130,47000,Tennessee,2,"Population (midperiod, persons) 1",6594339.0,2015,Q1
131,47000,Tennessee,3,Per capita personal income (dollars) 2,41424.0,2015,Q1
132,48000,Texas,1,"Personal income (millions of dollars, seasonally adjusted)",1285232.6,2015,Q1
133,48000,Texas,2,"Population (midperiod, persons) 1",27215532.0,2015,Q1
134,48000,Texas,3,Per capita personal income (dollars) 2,47224.0,2015,Q1
135,49000,Utah,1,"Personal income (millions of dollars, seasonally adjusted)",117219.2,2015,Q1
136,49000,Utah,2,"Population (midperiod, persons) 1",2982525.0,2015,Q1
137,49000,Utah,3,Per capita personal income (dollars) 2,39302.0,2015,Q1
138,50000,Vermont,1,"Personal income (millions of dollars, seasonally adjusted)",30242.5,2015,Q1
139,50000,Vermont,2,"Population (midperiod, persons) 1",635224.0,2015,Q1
140,50000,Vermont,3,Per capita personal income (dollars) 2,47609.0,2015,Q1
141,51000,Virginia,1,"Personal income (millions of dollars, seasonally adjusted)",426848.7,2015,Q1
142,51000,Virginia,2,"Population (midperiod, persons) 1",8370743.0,2015,Q1
143,51000,Virginia,3,Per capita personal income (dollars) 2,50993.0,2015,Q1
144,53000,Washington,1,"Personal income (millions of dollars, seasonally adjusted)",370309.2,2015,Q1
145,53000,Washington,2,"Population (midperiod, persons) 1",7140357.0,2015,Q1
146,53000,Washington,3,Per capita personal income (dollars) 2,51861.0,2015,Q1
147,54000,West Virginia,1,"Personal income (millions of dollars, seasonally adjusted)",68105.3,2015,Q1
148,54000,West Virginia,2,"Population (midperiod, persons) 1",1849003.0,2015,Q1
149,54000,West Virginia,3,Per capita personal income (dollars) 2,36834.0,2015,Q1
