REF_DATE,GEO,Estimates,VALUE
2017,Alberta,"Equals: debt service ratio, interest only",6.31
2018,Alberta,"Equals: debt service ratio, interest only",6.73
2019,Alberta,"Equals: debt service ratio, interest only",6.97
2020,Alberta,"Equals: debt service ratio, interest only",6.12
2021,Alberta,"Equals: debt service ratio, interest only",5.38
2022,Alberta,"Equals: debt service ratio, interest only",5.78
2023,Alberta,"Equals: debt service ratio, interest only",7.37
2024,Alberta,"Equals: debt service ratio, interest only",7.45
2015,British Columbia,"Equals: debt service ratio, interest only",7.27
2016,British Columbia,"Equals: debt service ratio, interest only",7.2
2017,British Columbia,"Equals: debt service ratio, interest only",7.24
2018,British Columbia,"Equals: debt service ratio, interest only",8.03
2019,British Columbia,"Equals: debt service ratio, interest only",8.28
2020,British Columbia,"Equals: debt service ratio, interest only",7.22
2021,British Columbia,"Equals: debt service ratio, interest only",6.63
2022,British Columbia,"Equals: debt service ratio, interest only",7.82
2023,British Columbia,"Equals: debt service ratio, interest only",10.06
2024,British Columbia,"Equals: debt service ratio, interest only",10.28
