"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","1799740","","","","0"
"2018","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","1889793","","","","0"
"2019","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","1960744","","","","0"
"2020","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","1883133","","","","0"
"2021","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","2045643","","","","0"
"2022","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","2281524","","","","0"
"2023","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","2462951","","","","0"
"2024","Canada","2016A000011124","Household outlays","Dollars","81","millions","6","v62790680","1.6","2607650","","","","0"
"2015","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","56034","","","","0"
"2016","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","56405","","","","0"
"2017","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","60186","","","","0"
"2018","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","70213","","","","0"
"2019","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","79808","","","","0"
"2020","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","73097","","","","0"
"2021","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","66808","","","","0"
"2022","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","84211","","","","0"
"2023","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","131481","","","","0"
"2024","Canada","2016A000011124","Property income paid","Dollars","81","millions","6","v62790681","1.7","146215","","","","0"
"2015","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","503245","","","","0"
