"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18027162","B","","","0"
"2023-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18087177","B","","","0"
"2023-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18081112","B","","","0"
"2023-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18073471","B","","","0"
"2023-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18125073","B","","","0"
"2023-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18119499","B","","","0"
"2023-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18055896","B","","","0"
"2023-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18107376","B","","","0"
"2024-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18125838","B","","","0"
"2024-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18162433","B","","","0"
"2024-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18212176","B","","","0"
"2024-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18215658","B","","","0"
"2024-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18243484","B","","","0"
"2024-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18215569","B","","","0"
"2024-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18231953","B","","","0"
"2024-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18265824","B","","","0"
"2024-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18252107","B","","","0"
"2024-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18244029","B","","","0"
"2024-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18248116","B","","","0"
"2024-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18305414","B","","","0"
"2025-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18309852","B","","","0"
"2025-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18283983","B","","","0"
"2025-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18248468","B","","","0"
"2025-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18253460","B","","","0"
"2025-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18280118","B","","","0"
"2025-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18263349","B","","","0"
"2025-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18288041","B","","","0"
"2025-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18311256","B","","","0"
"2025-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18284412","B","","","0"
"2025-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18306842","B","","","0"
"2025-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18308379","B","","","0"
"2025-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18297738","B","","","0"
"2026-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","18343379","B","","","0"
"2015-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","218689","A","","","0"
"2015-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219694","A","","","0"
"2015-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219664","A","","","0"
"2015-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220021","A","","","0"
"2015-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","223150","A","","","0"
"2015-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","223675","A","","","0"
"2015-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","225246","A","","","0"
"2015-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","223418","A","","","0"
"2015-09","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219865","A","","","0"
"2015-10","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220486","A","","","0"
"2015-11","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220368","A","","","0"
"2015-12","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219986","A","","","0"
"2016-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219900","A","","","0"
"2016-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219928","A","","","0"
"2016-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220751","A","","","0"
"2016-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222825","A","","","0"
"2016-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","221343","A","","","0"
"2016-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222225","A","","","0"
"2016-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220194","A","","","0"
"2016-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219926","A","","","0"
"2016-09","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222346","A","","","0"
"2016-10","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222047","A","","","0"
"2016-11","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222607","A","","","0"
"2016-12","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222059","A","","","0"
"2017-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","222157","A","","","0"
"2017-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","221285","A","","","0"
"2017-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","220660","A","","","0"
"2017-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","219837","A","","","0"
"2017-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","218139","A","","","0"
"2017-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","218878","A","","","0"
"2017-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310800","2.1.1","218647","A","","","0"
